Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
WG Period Plan,Forum,PLAN_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%201890691a93c244fa9ad479d499f12c16.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",Completed
WG Period Plan,Content,PLAN_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20a9ea3a4ccdfd4673b6c0c5e014e45143.md),"Document, Forum Post, General WG Score, Plan, Proposal",Completed
WG Period Plan,Storage,PLAN_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%200735b827ba6d46b3a0b69241944b06cd.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",Completed
WG Summary,HR,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20a2d56bb0de7344cbbe8f0e61278bf390.md),"Document, Forum Post, General WG Score, Grade, Proposal, Summary",Completed
WG Summary,Builders,SUMMARY_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%204a71c61c988847dc8540022235694566.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",Completed
WG Summary,Storage,SUMMARY_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%200735b827ba6d46b3a0b69241944b06cd.md),"Document, Forum Post, General WG Score, Grade, Subscore",Completed
WG Summary,Forum,SUMMARY_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,"General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%201890691a93c244fa9ad479d499f12c16.md), General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20437d91370adb4d6ca3b117a518d78c6a.md)","Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",Completed
WG Summary,Marketing,SUMMARY_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20437d91370adb4d6ca3b117a518d78c6a.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",Completed
WG Summary,Content,SUMMARY_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20a9ea3a4ccdfd4673b6c0c5e014e45143.md),"Document, Forum Post, General WG Score, Grade, Subscore, Summary",Completed
Council Period Summary,Council,SUMMARY_SCORE,1,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#council-period-summary,,Network Performance Score (Council%2016/Council%20Period%2016/Network%20Performance%20Score%202710eb21d7d84f79bed618a5e2acc10a.md),"Document, Forum Post, Grade, Master Score, Proposal",Completed
