"Objects size, MB",Bag ID,ObjectNumber,"Objects size, average, MB"
"7,0",2497,6,"1,2"
"3879,4",2171,42,"92,4"
"5,7",2391,4,"1,4"
"762,4",2128,48,"15,9"
"0,1",2443,2,"0,0"
"0,1",2015,2,"0,0"
"19,8",2455,4,"5,0"
"0,8",2382,4,"0,2"
"193,0",2117,5,"38,6"
"135,3",2266,2,"67,6"
"4,9",2423,4,"1,2"
"1105,3",2044,74,"14,9"
"9,7",2445,4,"2,4"
"0,1",2016,2,"0,0"
"15,9",2568,4,"4,0"
"11,3",2409,4,"2,8"
"66,1",2244,10,"6,6"
"22,6",2124,8,"2,8"
"3,5",2435,4,"0,9"
"8,1",2518,6,"1,3"
"5389,6",2079,180,"29,9"
"1423,7",2054,16,"89,0"
"159,2",2282,22,"7,2"
"16,9",2600,6,"2,8"
"84,3",2240,4,"21,1"
"2,5",2496,4,"0,6"
"3664,9",2271,60,"61,1"
"3,4",2535,4,"0,8"
"0,9",2348,4,"0,2"
"0,8",2558,4,"0,2"
"65,4",2447,4,"16,3"
"246,4",2312,2,"123,2"
"189,6",2294,3,"63,2"
"2540,3",2161,18,"141,1"
"4714,5",2189,80,"58,9"
"1721,5",2197,6,"286,9"
"10,7",2407,4,"2,7"
"69,5",2175,11,"6,3"
"594,4",2033,9,"66,0"
"0,1",2340,2,"0,0"
"185,0",2602,22,"8,4"
"0,0",2284,2,"0,0"
"47,7",2509,16,"3,0"
"1951,3",2151,5,"390,3"
"23,6",2563,6,"3,9"
"158,0",2099,6,"26,3"
"19821,6",2068,44,"450,5"
"3,7",2466,4,"0,9"
"3054,0",2107,107,"28,5"
"543,5",2074,12,"45,3"
"9488,3",2136,222,"42,7"
"45,7",2574,4,"11,4"
"9347,0",2152,168,"55,6"
"6827,8",2050,34,"200,8"
"2067,5",2191,42,"49,2"
"4,2",2462,4,"1,0"
"73,6",2553,12,"6,1"
"2,0",2500,6,"0,3"
"0,0",2616,0,#DIV/0!
"1,0",2559,4,"0,2"
"5,0",2363,4,"1,3"
"4341,2",2160,250,"17,4"
"0,0",2358,2,"0,0"
"37,7",2351,4,"9,4"
"1,0",2364,4,"0,2"
"79,4",2330,4,"19,9"
"7,4",2370,4,"1,9"
"13,8",2374,4,"3,4"
"498,6",2135,8,"62,3"
"0,0",2614,0,#DIV/0!
"0,1",2286,2,"0,0"
"28,9",2416,4,"7,2"
"0,0",2615,0,#DIV/0!
"0,0",2291,1,"0,0"
"912,3",2219,4,"228,1"
"129,6",2187,6,"21,6"
"15,5",2459,4,"3,9"
"0,0",2237,2,"0,0"
"0,0",2253,0,#DIV/0!
"15402,4",2047,234,"65,8"
"26,8",2402,4,"6,7"
"136,7",2170,7,"19,5"
"24342,4",2072,304,"80,1"
"427,3",2220,22,"19,4"
"50,2",2603,14,"3,6"
"0,0",2618,0,#DIV/0!
"8789,3",2035,30,"293,0"
"11863,9",2206,168,"70,6"
"53,6",2223,10,"5,4"
"7710,9",2098,128,"60,2"
"0,9",2425,4,"0,2"
"0,9",2417,4,"0,2"
"0,4",2331,2,"0,2"
"44,5",2106,5,"8,9"
"3,5",2436,4,"0,9"
"10,4",2426,4,"2,6"
"0,1",2180,2,"0,1"
"11,9",2465,4,"3,0"
"0,1",2232,3,"0,0"
"823,2",2133,8,"102,9"
"1749,2",2250,20,"87,5"
"0,1",2307,2,"0,0"
"274,9",2313,12,"22,9"
"14,4",2420,4,"3,6"
"1094,4",2196,32,"34,2"
"10116,9",2092,243,"41,6"
"1,2",2078,6,"0,2"
"0,1",2008,2,"0,1"
"10,1",2428,4,"2,5"
"28,0",2209,4,"7,0"
"47,7",2164,4,"11,9"
"9091,2",2298,19,"478,5"
"73,1",2489,14,"5,2"
"8,2",2387,3,"2,7"
"66,8",2212,6,"11,1"
"43,4",2132,5,"8,7"
"0,3",2306,2,"0,1"
"1126,2",2026,68,"16,6"
"246,5",2129,11,"22,4"
"7,1",2481,8,"0,9"
"1,9",2564,4,"0,5"
"748,3",2177,14,"53,4"
"40,4",2226,8,"5,1"
"76,9",2590,4,"19,2"
"13,2",2228,2,"6,6"
"39,7",2339,6,"6,6"
"35,5",2522,6,"5,9"
"1,9",2032,4,"0,5"
"60,8",2267,2,"30,4"
"1,3",2404,4,"0,3"
"1970,0",2245,60,"32,8"
"9,7",2389,4,"2,4"
"39,7",2336,6,"6,6"
"5,5",2554,8,"0,7"
"2,5",2366,4,"0,6"
"1,4",2413,4,"0,4"
"11,0",2504,10,"1,1"
"2510,1",2020,144,"17,4"
"190,0",2143,5,"38,0"
"6500,8",2082,99,"65,7"
"5,3",2555,4,"1,3"
"41,2",2448,4,"10,3"
"19,5",2300,4,"4,9"
"12,7",2474,4,"3,2"
"58,3",2458,6,"9,7"
"1,4",2439,4,"0,3"
"0,1",2444,2,"0,0"
"1277,3",2073,12,"106,4"
"19,3",2536,4,"4,8"
"1677,0",2320,18,"93,2"
