Title,Assigned,Date,Related to JS DAO Workers sheet (Tasks),Related to JS DAO Workers sheet (Tasks) 1,Status,Topic,URL
https://pioneerapp.xyz/#/forum/thread/350,"Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21), Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21)",,"Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21), Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21)","Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21), Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)",Archived discussion,Content,https://pioneerapp.xyz/#/forum/thread/350
https://pioneerapp.xyz/#/forum/thread/347,Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21),,Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21),Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21),Archived discussion,"HR, Workflows",https://pioneerapp.xyz/#/forum/thread/347
https://pioneerapp.xyz/#/forum/thread/170,Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21),,Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21),Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21),Stale,Workflows,https://pioneerapp.xyz/#/forum/thread/170
https://pioneerapp.xyz/#/forum/thread/88,Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21),,Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21),Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21),Archived discussion,Workflows,https://pioneerapp.xyz/#/forum/thread/88
https://pioneerapp.xyz/#/forum/thread/339,"Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21), 0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21)",,"0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21), Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21)","Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21), Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)",Archived discussion,Workflows,https://pioneerapp.xyz/#/forum/thread/339
https://pioneerapp.xyz/#/forum/thread/324,Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21),,Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21),Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21),Archived discussion,Chain,https://pioneerapp.xyz/#/forum/thread/324
https://pioneerapp.xyz/#/forum/thread/340,"Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21), Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21)",,"Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21), Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21)","Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21), Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)",Archived discussion,Chain,https://pioneerapp.xyz/#/forum/thread/340
https://pioneerapp.xyz/#/forum/thread/325,Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21),,Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21),Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21),Archived discussion,"Channels, Dev",https://pioneerapp.xyz/#/forum/thread/325
https://pioneerapp.xyz/#/forum/thread/336,Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21),,Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21),Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21),Archived discussion,Dev,https://pioneerapp.xyz/#/forum/thread/336
https://pioneerapp.xyz/#/forum/thread/342,Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21),,Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21),Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21),Archived discussion,Dev,https://pioneerapp.xyz/#/forum/thread/342
https://pioneerapp.xyz/#/forum/thread/337,"jen (https://www.notion.so/jen-f3363d362cf0408ea54b84cc2d6671d2?pvs=21), l1.Media (https://www.notion.so/l1-Media-102f6d226eeb478bb3cf77e0b9c087f8?pvs=21)",,"l1.Media (https://www.notion.so/l1-Media-c5cfcfc91b8d4a26b56f21da0e50aa3b?pvs=21), jen (https://www.notion.so/jen-ec8aebfd43134ad69d5deeb8c660d97e?pvs=21)","Untitled (https://www.notion.so/7986a3d88fe646a685368d1575c0d2dd?pvs=21), Untitled (https://www.notion.so/8b331eac2af3458e89d8accb15a6a9e9?pvs=21)",Pre-Proposal,Workflows,https://pioneerapp.xyz/#/forum/thread/337
https://pioneerapp.xyz/#/forum/thread/319,"Songoku (https://www.notion.so/Songoku-6301efa9bcee460b8ee79a27c9a84bce?pvs=21), 0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21)",,"0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21), Songoku (https://www.notion.so/Songoku-491570b0e3e746908c95f89e94c46975?pvs=21)","Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21), Untitled (https://www.notion.so/779373785903497c852d7332d7daa028?pvs=21)",Stale,,https://pioneerapp.xyz/#/forum/thread/319
https://pioneerapp.xyz/#/forum/thread/320,Songoku (https://www.notion.so/Songoku-6301efa9bcee460b8ee79a27c9a84bce?pvs=21),,Songoku (https://www.notion.so/Songoku-491570b0e3e746908c95f89e94c46975?pvs=21),Untitled (https://www.notion.so/779373785903497c852d7332d7daa028?pvs=21),Archived discussion,Channels,https://pioneerapp.xyz/#/forum/thread/320
https://pioneerapp.xyz/#/forum/thread/271,Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21),,Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21),Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21),Archived discussion,Workflows,https://pioneerapp.xyz/#/forum/thread/271
https://pioneerapp.xyz/#/forum/thread/295,"Songoku (https://www.notion.so/Songoku-6301efa9bcee460b8ee79a27c9a84bce?pvs=21), Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21)",,"Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21), Songoku (https://www.notion.so/Songoku-491570b0e3e746908c95f89e94c46975?pvs=21)","Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21), Untitled (https://www.notion.so/779373785903497c852d7332d7daa028?pvs=21)",Pre-Proposal,Events,https://pioneerapp.xyz/#/forum/thread/295
https://pioneerapp.xyz/#/forum/thread/305,Songoku (https://www.notion.so/Songoku-6301efa9bcee460b8ee79a27c9a84bce?pvs=21),,Songoku (https://www.notion.so/Songoku-491570b0e3e746908c95f89e94c46975?pvs=21),Untitled (https://www.notion.so/779373785903497c852d7332d7daa028?pvs=21),Archived discussion,Channels,https://pioneerapp.xyz/#/forum/thread/305
https://pioneerapp.xyz/#/forum/thread/300,"Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21), jen (https://www.notion.so/jen-f3363d362cf0408ea54b84cc2d6671d2?pvs=21)",,"Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21), jen (https://www.notion.so/jen-ec8aebfd43134ad69d5deeb8c660d97e?pvs=21)","Untitled (https://www.notion.so/7986a3d88fe646a685368d1575c0d2dd?pvs=21), Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)",Stale,Events,https://pioneerapp.xyz/#/forum/thread/300
https://pioneerapp.xyz/#/forum/thread/287,0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21),,0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21),Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21),Archived discussion,Events,https://pioneerapp.xyz/#/forum/thread/287
https://pioneerapp.xyz/#/forum/thread/76,"l1.Media (https://www.notion.so/l1-Media-102f6d226eeb478bb3cf77e0b9c087f8?pvs=21), Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21)",,"l1.Media (https://www.notion.so/l1-Media-c5cfcfc91b8d4a26b56f21da0e50aa3b?pvs=21), Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21)","Untitled (https://www.notion.so/8b331eac2af3458e89d8accb15a6a9e9?pvs=21), Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)",Pre-Proposal,Workflows,https://pioneerapp.xyz/#/forum/thread/76
https://pioneerapp.xyz/#/forum/thread/298,Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21),,Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21),Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21),Archived discussion,Workflows,https://pioneerapp.xyz/#/forum/thread/298
https://pioneerapp.xyz/#/forum/thread/296,"0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21), Codefi_keyz (https://www.notion.so/Codefi_keyz-309fe6b454f949b8978d6d9ce8021075?pvs=21), jen (https://www.notion.so/jen-f3363d362cf0408ea54b84cc2d6671d2?pvs=21)",,"0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21), Codefi_keyz (https://www.notion.so/Codefi_keyz-f6984d651b7f47e08210baf7da48a770?pvs=21), jen (https://www.notion.so/jen-ec8aebfd43134ad69d5deeb8c660d97e?pvs=21)","Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21), Untitled (https://www.notion.so/7986a3d88fe646a685368d1575c0d2dd?pvs=21), Untitled (https://www.notion.so/efed624f27a14e5d8760b1103615bd78?pvs=21)",Stale,"HR, Workflows",https://pioneerapp.xyz/#/forum/thread/296
https://pioneerapp.xyz/#/forum/thread/289,"l1.Media (https://www.notion.so/l1-Media-102f6d226eeb478bb3cf77e0b9c087f8?pvs=21), Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21)",,"l1.Media (https://www.notion.so/l1-Media-c5cfcfc91b8d4a26b56f21da0e50aa3b?pvs=21), Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21)","Untitled (https://www.notion.so/8b331eac2af3458e89d8accb15a6a9e9?pvs=21), Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)",Archived discussion,Workflows,https://pioneerapp.xyz/#/forum/thread/289
https://pioneerapp.xyz/#/forum/thread/294,l1.Media (https://www.notion.so/l1-Media-102f6d226eeb478bb3cf77e0b9c087f8?pvs=21),,l1.Media (https://www.notion.so/l1-Media-c5cfcfc91b8d4a26b56f21da0e50aa3b?pvs=21),Untitled (https://www.notion.so/8b331eac2af3458e89d8accb15a6a9e9?pvs=21),Pre-Proposal,Workflows,https://pioneerapp.xyz/#/forum/thread/294
https://pioneerapp.xyz/#/forum/thread/290,Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21),,Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21),Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21),Stale,"Chain, Workflows",https://pioneerapp.xyz/#/forum/thread/290
https://pioneerapp.xyz/#/forum/thread/278,Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21),,Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21),Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21),Stale,,https://pioneerapp.xyz/#/forum/thread/278
https://pioneerapp.xyz/#/forum/thread/284,Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21),,Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21),Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21),Pre-Proposal,,https://pioneerapp.xyz/#/forum/thread/284
https://pioneerapp.xyz/#/forum/thread/269,"l1.Media (https://www.notion.so/l1-Media-102f6d226eeb478bb3cf77e0b9c087f8?pvs=21), Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21)",,"l1.Media (https://www.notion.so/l1-Media-c5cfcfc91b8d4a26b56f21da0e50aa3b?pvs=21), Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21)","Untitled (https://www.notion.so/8b331eac2af3458e89d8accb15a6a9e9?pvs=21), Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)",Stale,Workflows,https://pioneerapp.xyz/#/forum/thread/269
https://pioneerapp.xyz/#/forum/thread/30,Mariia (https://www.notion.so/Mariia-8e623ee0922947d5b8fda548ab7dd364?pvs=21),,Mariia (https://www.notion.so/Mariia-18a6d901df814aa5bfa7a130bca38f46?pvs=21),Untitled (https://www.notion.so/bb0499ddfef742bf97b9ffab7315bd68?pvs=21),Archived discussion,,https://pioneerapp.xyz/#/forum/thread/30
https://pioneerapp.xyz/#/forum/thread/17,Mariia (https://www.notion.so/Mariia-8e623ee0922947d5b8fda548ab7dd364?pvs=21),,Mariia (https://www.notion.so/Mariia-18a6d901df814aa5bfa7a130bca38f46?pvs=21),Untitled (https://www.notion.so/bb0499ddfef742bf97b9ffab7315bd68?pvs=21),Archived discussion,,https://pioneerapp.xyz/#/forum/thread/17
https://pioneerapp.xyz/#/proposals/preview/325,,,,,Approved,,
RE: Content Incentives Bulk Payouts,Igrex (https://www.notion.so/Igrex-c7c2983f450646729ce1c76265f87f72?pvs=21),,Igrex (https://www.notion.so/Igrex-99fb09a41cf443d78daf61b33ae4e45e?pvs=21),Untitled (https://www.notion.so/21e72bac733844a09e1d4a6532656560?pvs=21),Approved,Content,https://pioneerapp.xyz/#/proposals/preview/325
Handover Meeting Flow,jen (https://www.notion.so/jen-f3363d362cf0408ea54b84cc2d6671d2?pvs=21),26/05/2023,jen (https://www.notion.so/jen-ec8aebfd43134ad69d5deeb8c660d97e?pvs=21),Untitled (https://www.notion.so/7986a3d88fe646a685368d1575c0d2dd?pvs=21),Approved,Workflows,https://pioneerapp.xyz/#/proposals/preview/331
Development Priorities Q2,l1.Media (https://www.notion.so/l1-Media-102f6d226eeb478bb3cf77e0b9c087f8?pvs=21),,l1.Media (https://www.notion.so/l1-Media-c5cfcfc91b8d4a26b56f21da0e50aa3b?pvs=21),Untitled (https://www.notion.so/8b331eac2af3458e89d8accb15a6a9e9?pvs=21),Pre-Proposal,Dev,https://pioneerapp.xyz/#/forum/thread/403
https://pioneerapp.xyz/#/forum/thread/406,jen (https://www.notion.so/jen-f3363d362cf0408ea54b84cc2d6671d2?pvs=21),,jen (https://www.notion.so/jen-ec8aebfd43134ad69d5deeb8c660d97e?pvs=21),Untitled (https://www.notion.so/7986a3d88fe646a685368d1575c0d2dd?pvs=21),Pre-Proposal,HR,https://pioneerapp.xyz/#/forum/thread/406
https://pioneerapp.xyz/#/forum/thread/400,l1.Media (https://www.notion.so/l1-Media-102f6d226eeb478bb3cf77e0b9c087f8?pvs=21),,l1.Media (https://www.notion.so/l1-Media-c5cfcfc91b8d4a26b56f21da0e50aa3b?pvs=21),Untitled (https://www.notion.so/8b331eac2af3458e89d8accb15a6a9e9?pvs=21),Pre-Proposal,Events,https://pioneerapp.xyz/#/forum/thread/400
