"Objects size, MB",Bag ID,ObjectNumber,"Objects size, average, MB"
"73,3",2590,4,"18,3"
"0,0",2618,0,#DIV/0!
"1,5",2460,4,"0,4"
"6199,7",2082,99,"62,6"
"198,7",2057,22,"9,0"
"23639,9",2148,60,"394,0"
"37,8",2335,6,"6,3"
"14,7",2451,4,"3,7"
"12,9",2475,6,"2,1"
"754,1",2147,24,"31,4"
"1,9",2537,4,"0,5"
"0,0",2268,0,#DIV/0!
"1,2",2476,4,"0,3"
"932,5",2113,11,"84,8"
"7,6",2508,4,"1,9"
"4742,4",2108,43,"110,3"
"0,8",2355,4,"0,2"
"0,5",2629,2,"0,2"
"25,5",2490,4,"6,4"
"14518,9",2139,400,"36,3"
"3,7",2345,6,"0,6"
"4,3",2375,4,"1,1"
"78,1",2480,4,"19,5"
"0,0",2285,2,"0,0"
"0,0",2002,2,"0,0"
"0,8",2417,4,"0,2"
"12,6",2634,2,"6,3"
"0,0",2235,0,#DIV/0!
"3,6",2592,4,"0,9"
"6,7",2497,6,"1,1"
"0,0",2632,0,#DIV/0!
"4,0",2063,4,"1,0"
"8980,2",2101,170,"52,8"
"16804,7",2159,302,"55,6"
"9648,2",2092,243,"39,7"
"2123,4",2081,41,"51,8"
"0,0",2635,0,#DIV/0!
"37,8",2337,6,"6,3"
"0,1",2307,2,"0,0"
"1668,2",2250,20,"83,4"
"752,2",2192,8,"94,0"
"2,4",2366,4,"0,6"
"7353,7",2098,128,"57,5"
"218,7",2166,4,"54,7"
"607,1",2141,40,"15,2"
"1,1",2078,6,"0,2"
"5,0",2542,4,"1,3"
"29,1",2579,4,"7,3"
"5,4",2524,4,"1,4"
"47,8",2603,14,"3,4"
"4,1",2431,4,"1,0"
"235,0",2312,2,"117,5"
"8,4",2450,4,"2,1"
"1,8",2564,4,"0,5"
"449,0",2233,12,"37,4"
"5,5",2578,4,"1,4"
"2845,9",2080,65,"43,8"
"176,4",2602,22,"8,0"
"11,2",2024,6,"1,9"
"9,6",2528,4,"2,4"
"5153,8",2029,26,"198,2"
"35,9",2640,6,"6,0"
"1,9",2500,6,"0,3"
"1164,9",2196,42,"27,7"
"41,5",2570,4,"10,4"
"24,3",2311,6,"4,0"
"57,0",2167,4,"14,2"
"55,6",2458,6,"9,3"
"641,5",2236,82,"7,8"
"175,6",2067,4,"43,9"
"0,0",2290,0,#DIV/0!
"26,7",2209,4,"6,7"
"8,3",2560,4,"2,1"
"1,2",2502,6,"0,2"
"18,2",2521,4,"4,5"
"166,3",2123,6,"27,7"
"18,0",2639,6,"3,0"
"252,3",2333,40,"6,3"
"15290,2",2310,58,"263,6"
"0,0",2231,2,"0,0"
"0,0",2242,2,"0,0"
"14688,8",2047,234,"62,8"
"5,8",2297,3,"1,9"
"3,4",2377,4,"0,8"
"0,9",2364,4,"0,2"
"0,1",2011,2,"0,0"
"14,1",2296,2,"7,0"
"382,3",2172,23,"16,6"
"5215,6",2156,18,"289,8"
"0,0",2214,0,#DIV/0!
"566,9",2033,9,"63,0"
"8,7",2028,4,"2,2"
"1,8",2484,6,"0,3"
"0,0",2356,1,"0,0"
"38,5",2222,8,"4,8"
"13,4",2422,4,"3,4"
"3,0",2441,2,"1,5"
"1,2",2404,4,"0,3"
"2,4",2467,8,"0,3"
"5,4",2357,4,"1,3"
"16,2",2526,6,"2,7"
"159,1",2260,4,"39,8"
