Name,Attributes,Builder Weight,Content Weight,Deadline (Local Time),Deadline [block],Deadline timestamp,Distributor Weight,Effective Deadline,Forum Link,Forum Post Required?,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Proposal Link,Reports Gathered,Score,Score Notes,Score Status,Score Type,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores,Summary Weight,Summary Weight link
General WG Score,Composite Grade,,,,,,,,,,,,GENERAL_WG_SCORE,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,,,,,,,,HR Score (Council%208/Council%20Period%208/HR%20Score%20fbd6395d4fc64558ae4b90f7129c5225.md),,,,,,No,0.983,,Completed,,No,,,,,"WG Period Plan (Council%208/Council%20Period%208/WG%20Period%20Plan%2052aad186b54e4095876c860a228ed97c.md), WG Summary (Council%208/Council%20Period%208/WG%20Summary%20f922498e31bc4a059a54e5bb1635b5d9.md), WG Opportunities (Council%208/Council%20Period%208/WG%20Opportunities%20f6229726c3f44d9abf32157c14777460.md)",,
WG Opportunities,"Grade, Spot Check, Subscore",,,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,,,,,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%200add7c6b293542c09bc64d4744c1e3d2.md),,,,,,No,1,,Completed,,No,,,,,,,
WG Period Plan,"Document, Forum Post, Grade, Subscore",,,,,,,,,,,,PLAN_SCORE,Forum,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,,,,,,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%203fdfb7f760f647b2b7cde6384c758d7f.md),,,,,,No,0.4,,Completed,,No,,,,,,,
Moderation Score,"Grade, Spot Check",,,,,,,,,,,,MODERATION_SCORE,Forum,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#moderation_score,,,,,,,,Forum Score (Council%208/Council%20Period%208/Forum%20Score%207514c5412b6844008461680aece46c56.md),,,,,,No,1,,Completed,,No,,,,,,,
Content Score,Composite Grade,,,,,,,,,,,,CONTENT_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,,,,,,,,Network Performance Score (Council%208/Council%20Period%208/Network%20Performance%20Score%2095345cdb313b4fd29db82fcae59e4bef.md),,,,,,No,0.117,,Completed,,No,,,,,"General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%200add7c6b293542c09bc64d4744c1e3d2.md), Content Report (Council%208/Council%20Period%208/Content%20Report%201839f2243d134cb2931df1aad91abca5.md), Featuring Score (Council%208/Council%20Period%208/Featuring%20Score%2078d0ac649bdd4ecdb0bbd2cc9750b1a3.md), Moderation Score (Council%208/Council%20Period%208/Moderation%20Score%20b9e1c38dc1bd41ddb8a16377c511fae2.md), Logging does not occur (Council%208/Council%20Period%208/Logging%20does%20not%20occur%204115953b626d4dd283353408add6f126.md), Featured Content Unplayable (Council%208/Council%20Period%208/Featured%20Content%20Unplayable%2038962cd119c445fa99ffa06a62d6561e.md), Failure to apply moderation rules (Council%208/Council%20Period%208/Failure%20to%20apply%20moderation%20rules%20b58d05ed767c4c499d4735ad1e304c18.md)",,
Pioneer Development,"Grade, Spot Check, Subscore",,,,,,,,,,,,PIONEER_DEVELOPMENT_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#pioneer_development_score,,,,,,,,Builder Score (Council%208/Council%20Period%208/Builder%20Score%2036d89cfdf7ba4fa8b11bf29a2719c891.md),,,,,,No,0.417,,Completed,Subscore,No,,,,,,,
Missing Judgement,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#catastrophic-errors,,,,,,,,,,,,,,No,0,,Completed,,No,,,,,,,
Distributor Score,Composite Grade,,,,,,,,,,,,DISTRIBUTOR_SCORE,Distributors,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,,,,,,,,Network Performance Score (Council%208/Council%20Period%208/Network%20Performance%20Score%2095345cdb313b4fd29db82fcae59e4bef.md),,,,,,No,0.644,,Completed,Main Score,No,,,,,"Distributors Report (Council%208/Council%20Period%208/Distributors%20Report%20026b3f3900564fc3b777a1355075cb1c.md), Thumbnails (Council%208/Council%20Period%208/Thumbnails%2082c6e0d74dde4daba4f46a7dd427466b.md), General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%20d1e632e1ddfe46cdb876ac20871293d0.md)",,
Forum Score,Composite Grade,,,,,,,,,,,,FORUM_SCORE,Forum,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,,,,,,,,,,,,,,No,0.375,,Completed,,No,,,,,"General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%203fdfb7f760f647b2b7cde6384c758d7f.md), Forum Report (Council%208/Council%20Period%208/Forum%20Report%2040064c2176b549dea10a5ddfadd72785.md), Moderation Score (Council%208/Council%20Period%208/Moderation%20Score%2038d5d7611f514c13b45222f88489f75c.md), Notification Score (Council%208/Council%20Period%208/Notification%20Score%20d2576635fa1a4a7db5441e08db9b0bb4.md)",,
Incorrect Reporting,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,,Storage,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#incorrect-reporting,,,,,,,,,,,,,,No,,,Completed,Subscore,No,,,,,,,
