Name,Amount (spending proposal),Author,Blockheight,Community Roadmap - Mainnet,Council Approvals,Date,Proposal Number,Proposal Status,Proposal Type,Tags,Text,URL,Working Group
Update BWL Lead Reward back to normal,,jen4ph,686679,,1,"January 26, 2023 6:37 (GMT+1)",93,,SetWorkingGroupLeadRewardProposalDetails,,,,
Payment for TheGrimSavage #4407,,chaos77,688502,,1,"January 26, 2023 7:17 (GMT+1)",94,,FundingRequestProposalDetails,,,,
Forum Lead Salary,,songoku,715946,,0,"January 28, 2023 6:23 (GMT+1)",95,,SignalProposalDetails,,,,
BWG lead bonus,,chaos77,713947,,1,"January 28, 2023 6:56 (GMT+1)",96,,FundingRequestProposalDetails,,,,
Create opening for MWG Lead,,jen4ph,717104,,1,"January 28, 2023 14:42 (GMT+1)",97,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
UPDATE ON WG LEADS SALARIES,,Codefi_keyz,715956,,0,"January 28, 2023 16:15 (GMT+1)",98,,SignalProposalDetails,,,,
"Rhodes, Carthage worker payments ",,l1dev,746998,,1,"January 29, 2023 8:45 (GMT+1)",99,,UpdateWorkingGroupBudgetProposalDetails,,,,
Refill App WG Budget,,0x2bc,732011,,1,"January 29, 2023 10:27 (GMT+1)",100,,UpdateWorkingGroupBudgetProposalDetails,,,,
Refill Apps WG budget,,0x2bc,729025,,1,"January 29, 2023 10:35 (GMT+1)",101,,UpdateWorkingGroupBudgetProposalDetails,,,,
Assign Correct Discord Role to WG Leads,,Codefi_keyz,769812,Discord (Archive/Community%20Roadmap%20-%20Mainnet/Discord%2064386cff9f8847ae8c4b10107b95ae47.md),1,"January 30, 2023 7:41 (GMT+1)",102,,SignalProposalDetails,,,,
Review #council-handover channel,,Codefi_keyz,749940,,1,"January 30, 2023 8:55 (GMT+1)",103,,SignalProposalDetails,,,,
Create Main Category for Validators,,songoku,747853,,1,"January 30, 2023 14:11 (GMT+1)",104,,SignalProposalDetails,,,,
Refill Content WG budget,,0x2bc,761036,,1,"January 31, 2023 16:31 (GMT+1)",105,,UpdateWorkingGroupBudgetProposalDetails,,,,
"Refill Distribution WG budget ",,0x2bc,777603,,0,"January 31, 2023 16:40 (GMT+1)",106,,UpdateWorkingGroupBudgetProposalDetails,,,,
Refill Storage WG Budget,,0x2bc,760946,,1,"January 31, 2023 16:47 (GMT+1)",107,,UpdateWorkingGroupBudgetProposalDetails,,,,
Joystream DAO Marketing WG Plan,,leet_joy,775740,,1,"January 31, 2023 19:40 (GMT+1)",108,,SignalProposalDetails,,,,
Update DWG budget,,ismail,788147,,1,"February 2, 2023 14:35 (GMT+1)",109,,UpdateWorkingGroupBudgetProposalDetails,,,,
BWG budget refill for Term 4,,chaos77,831228,,0,"February 2, 2023 16:54 (GMT+1)",110,,UpdateWorkingGroupBudgetProposalDetails,,,,
Update HR WG budget,,ismail,799966,,1,"February 3, 2023 7:44 (GMT+1)",111,,UpdateWorkingGroupBudgetProposalDetails,,,,
HR Monitor Worker Salaries,,ismail,837258,,0,"February 4, 2023 5:37 (GMT+1)",112,,SignalProposalDetails,,,,
Refill FWG Budget,,ismail,825534,,1,"February 5, 2023 5:28 (GMT+1)",113,,UpdateWorkingGroupBudgetProposalDetails,,,,
Refill CWG Budget,,ismail,829178,,1,"February 5, 2023 7:34 (GMT+1)",114,,UpdateWorkingGroupBudgetProposalDetails,,,,
Update HR WG budget,,ismail,829205,,1,"February 5, 2023 8:44 (GMT+1)",115,,UpdateWorkingGroupBudgetProposalDetails,,,,
Refill BWG Budget,,ismail,847217,,1,"February 6, 2023 17:10 (GMT+1)",116,,UpdateWorkingGroupBudgetProposalDetails,,,,
Reduce BWG Lead Rewards,,ismail,847239,,1,"February 6, 2023 17:24 (GMT+1)",117,,SetWorkingGroupLeadRewardProposalDetails,,,,
Update MWG Budget,,ismail,871542,,1,"February 6, 2023 17:37 (GMT+1)",118,,UpdateWorkingGroupBudgetProposalDetails,,,,
Reset BWG Lead Salary,,ismail,871528,,1,"February 8, 2023 8:23 (GMT+1)",119,,SetWorkingGroupLeadRewardProposalDetails,,,,
Update MWG Budget,,ismail,874984,,1,"February 8, 2023 14:38 (GMT+1)",120,,UpdateWorkingGroupBudgetProposalDetails,,,,
Update Builders WG Budget,,ismail,874973,,1,"February 8, 2023 14:43 (GMT+1)",121,,UpdateWorkingGroupBudgetProposalDetails,,,,
Vikan Salary Update,,ismail,886796,,1,"February 9, 2023 11:03 (GMT+1)",122,,UpdateWorkingGroupBudgetProposalDetails,,,,
Update Apps WG Budget,,songoku,900981,,1,"February 9, 2023 15:45 (GMT+1)",123,,UpdateWorkingGroupBudgetProposalDetails,,,,
Update DWG Budget,,ismail,901634,,1,"February 10, 2023 11:42 (GMT+1)",124,,UpdateWorkingGroupBudgetProposalDetails,,,,
Council Secretary,,ismail,940372,,1,"February 12, 2023 8:56 (GMT+1)",125,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
"Create Council Secretary Opening ",,ismail,933071,,1,"February 12, 2023 16:43 (GMT+1)",126,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
Lead Bonuses And WGs KPIs,,ismail,939284,,0,"February 13, 2023 5:00 (GMT+1)",127,,SignalProposalDetails,,,,
Cancel Extra Counil Secretary Opening,,ismail,942059,,1,"February 13, 2023 7:35 (GMT+1)",128,,CancelWorkingGroupLeadOpeningProposalDetails,,,,
Update HR WG Budget,,songoku,962275,,1,"February 14, 2023 10:38 (GMT+1)",129,,UpdateWorkingGroupBudgetProposalDetails,,,,
Content Rewards Policy,,songoku,992764,,0,"February 14, 2023 11:19 (GMT+1)",130,,SignalProposalDetails,,,,
Lead Bonuses And WGs KPIs,,ismail,975738,,0,"February 15, 2023 16:12 (GMT+1)",131,,SignalProposalDetails,,,,
Change in Reporting Cycle,,ismail,985348,Reporting Cycle (Archive/Community%20Roadmap%20-%20Mainnet/Reporting%20Cycle%20f4c7c72ee17849a2a018b085ec7f24c0.md),1,"February 15, 2023 16:32 (GMT+1)",132,,SignalProposalDetails,,,,
Update SWG Budget,,ismail,991851,,1,"February 16, 2023 18:18 (GMT+1)",133,,UpdateWorkingGroupBudgetProposalDetails,,,,
Partial Refill SWG Budget,,jen4ph,1000730,,1,"February 17, 2023 2:34 (GMT+1)",134,,UpdateWorkingGroupBudgetProposalDetails,,,,
Term 5 Budget,,chaos77,1009729,,1,"February 17, 2023 8:26 (GMT+1)",135,,UpdateWorkingGroupBudgetProposalDetails,,,,
Hire @tomato as Council Secretary,,l1dev,1009760,,1,"February 17, 2023 21:55 (GMT+1)",136,,FillWorkingGroupLeadOpeningProposalDetails,,,,
Set lead invitiatons,,l1dev,1024629,,1,"February 17, 2023 22:17 (GMT+1)",137,,SetMembershipLeadInvitationQuotaProposalDetails,,,,
#Verification - READ-ONLY CHANNEL,,jen4ph,1017861,,1,"February 18, 2023 5:42 (GMT+1)",138,,SignalProposalDetails,,,,
"Fire Membership Lead(then, hire @tomato)",,0x2bc,1017615,,1,"February 18, 2023 11:07 (GMT+1)",139,,TerminateWorkingGroupLeadProposalDetails,,,,
Implement Council Candidacy Interview,,Codefi_keyz,1060079,,0,"February 18, 2023 14:49 (GMT+1)",140,,SignalProposalDetails,,,,
Hire @Tomato As Council Secretary,,0x2bc,1020855,,1,"February 18, 2023 14:50 (GMT+1)",141,,FillWorkingGroupLeadOpeningProposalDetails,,,,
Partial Refill for DWG Budget,,jen4ph,1033131,,1,"February 18, 2023 15:05 (GMT+1)",142,,UpdateWorkingGroupBudgetProposalDetails,,,,
Council Plan For 5th Term,,0x2bc,1071543,,0,"February 19, 2023 9:55 (GMT+1)",143,,SignalProposalDetails,,,,
Update MWG Budget,,leet_joy,1041138,,1,"February 19, 2023 10:25 (GMT+1)",144,,UpdateWorkingGroupBudgetProposalDetails,,,,
Council Election Process breakdown,,Codefi_keyz,1075479,,0,"February 19, 2023 16:29 (GMT+1)",145,,SignalProposalDetails,,,,
Reduce APPS WG Lead Rewards,,jen4ph,1053262,,1,"February 20, 2023 5:46 (GMT+1)",146,,SetWorkingGroupLeadRewardProposalDetails,,,,
Applicants are welcome for HR WG Lead,,jen4ph,1073871,,1,"February 21, 2023 17:30 (GMT+1)",147,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
Content Rewards Policy,,igrex,1086390,,0,"February 22, 2023 6:12 (GMT+1)",148,,SignalProposalDetails,,,,
#Membership channel on discord,,jen4ph,1089894,Discord (Archive/Community%20Roadmap%20-%20Mainnet/Discord%2064386cff9f8847ae8c4b10107b95ae47.md),1,"February 23, 2023 7:55 (GMT+1)",149,,SignalProposalDetails,,,,
New Council Term Plan Template,,0x2bc,1130713,Council Term Plan Template (Archive/Community%20Roadmap%20-%20Mainnet/Council%20Term%20Plan%20Template%206c2dda0b8f7144bb8f8a192c462fc1fe.md),0,"February 23, 2023 12:33 (GMT+1)",150,,SignalProposalDetails,,,,
New Council Term Report Template,,0x2bc,1130749,Council Term Report Template (Archive/Community%20Roadmap%20-%20Mainnet/Council%20Term%20Report%20Template%20eaf4d89ab8b942a694d218ebc282000e.md),0,"February 23, 2023 12:37 (GMT+1)",151,,SignalProposalDetails,,,,
Slow down on hiring new personnel,,0x2bc,1132067,,0,"February 23, 2023 14:48 (GMT+1)",152,,SignalProposalDetails,,,,
Refill SWG Budget,,jen4ph,1103752,,1,"February 24, 2023 5:40 (GMT+1)",153,,UpdateWorkingGroupBudgetProposalDetails,,,,
Content Rewards Policy,,igrex,1141988,,0,"February 24, 2023 7:21 (GMT+1)",154,,SignalProposalDetails,,,,
Replenish Forum WG Budget,,jen4ph,1103770,,1,"February 24, 2023 8:16 (GMT+1)",155,,UpdateWorkingGroupBudgetProposalDetails,,,,
Certificate of Employment,,Codefi_keyz,1103030,Certificate of Employment (Archive/Community%20Roadmap%20-%20Mainnet/Certificate%20of%20Employment%2091b13c6760c347cdbd8ba493b29c26dc.md),0,"February 24, 2023 11:34 (GMT+1)",156,,SignalProposalDetails,,,,
New Council Term Report Template,,0x2bc,1164471,Council Term Report Template (Archive/Community%20Roadmap%20-%20Mainnet/Council%20Term%20Report%20Template%20eaf4d89ab8b942a694d218ebc282000e.md),1,"February 26, 2023 18:21 (GMT+1)",157,,SignalProposalDetails,,,,
New Council Term Plan Template,,0x2bc,1170620,Council Term Plan Template (Archive/Community%20Roadmap%20-%20Mainnet/Council%20Term%20Plan%20Template%206c2dda0b8f7144bb8f8a192c462fc1fe.md),1,"February 26, 2023 18:28 (GMT+1)",158,,SignalProposalDetails,,,,
Council Plan For 5th Term,,0x2bc,1177631,,1,"February 26, 2023 18:33 (GMT+1)",159,,SignalProposalDetails,,,,
Get more info on JSG and Gateways plans,,0x2bc,1141449,,0,"February 26, 2023 20:18 (GMT+1)",160,,SignalProposalDetails,,,,
Refill Membership WG budget,,0x2bc,1159302,,1,"February 27, 2023 10:56 (GMT+1)",161,,UpdateWorkingGroupBudgetProposalDetails,,,,
Refill Distribution budget,,0x2bc,1159293,,1,"February 27, 2023 11:34 (GMT+1)",162,,UpdateWorkingGroupBudgetProposalDetails,,,,
Refill HR budget,,0x2bc,1159288,,1,"February 27, 2023 11:36 (GMT+1)",163,,UpdateWorkingGroupBudgetProposalDetails,,,,
Refill Content WG budget,,0x2bc,1159276,,1,"February 27, 2023 11:38 (GMT+1)",164,,UpdateWorkingGroupBudgetProposalDetails,,,,
"Gateway's Development Roadmap Required ",,jen4ph,1150357,,0,"February 27, 2023 21:30 (GMT+1)",165,,SignalProposalDetails,,,,
Gateways' Development Roadmaps Required,,jen4ph,1163403,,0,"February 27, 2023 21:35 (GMT+1)",166,,SignalProposalDetails,,,,
