Name,Attributes,Forum Link,Forum Report Source,Grade Name,Group,Handbook Link,JSG Grading Status,Notion Link,Notion Source Link,Parent Score,Proposal Link,Score,Score Notes,Spot Check Completed,Submitted [Block],Subscores
Total Breaches of Policy,"Catastrophic Errors, Grade, Spot Check",,,TOTAL_BREACHES_OF_POLICY,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,Not Completed,,,"Moderation Score (Council%2023/Council%20Period%2017/Moderation%20Score%20e9f8e61a8a084677b95e1fb21ffea3d1.md), Curation Testing Score (Council%2023/Council%20Period%2017/Curation%20Testing%20Score%2072e11dcf29c046ec9e155a38f3e8d93c.md)",,,,No,,
Distributor Score,"Composite Grade, Master Score",,,DISTRIBUTOR_SCORE,Distributors,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,Not Completed,,,Network Performance Score (Council%2023/Council%20Period%2017/Network%20Performance%20Score%20279437990b624aefb9a51c9d640c1a69.md),,,,No,,"System (Council%2023/Council%20Period%2017/System%20df0b38b0a1834c629db7576a100cfdd2.md), General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%20f53e36ec9c304ee3a8af2889b0667de8.md), Distributors Report (Council%2023/Council%20Period%2017/Distributors%20Report%20eaa4257d45a146b9b956c733754f2c29.md)"
WG Period Plan,"Document, Forum Post, General WG Score, Plan, Proposal",,,PLAN_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Not Completed,,,General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%2098231fe7639744ff924d622f5d28dd1f.md),,,,No,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,Builders,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%209fdd606b269f4e599ac51a0998b33614.md),,,,No,,
Person Logging Score,"Group Specific Scores, Subscore",,,PERSON_LOGGING_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#person_logging_score,Not Completed,,,HR Score (Council%2023/Council%20Period%2017/HR%20Score%20580b1d720c99440da33e9c6a559628e2.md),,,,No,,
System,"Grade, Group Specific Scores, Spot Check, Subscore",,,SYSTEM_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#system_score,Not Completed,,,Distributor Score (Council%2023/Council%20Period%2017/Distributor%20Score%20df59e5050c04432ea5f0f848bf50d6a1.md),,,,No,,
Bounty Score,"General WG Score, Subscore",,,BOUNTY_SCORE,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%2098231fe7639744ff924d622f5d28dd1f.md),,,,No,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,Marketing,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,"General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%20edbf8275049f43109753aef4533b3a7b.md), General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%2036972e434a2f4cac9557bf51024cac77.md)",,,,No,,
Content Score,"Composite Grade, Master Score",,,CONTENT_SCORE,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,Not Completed,,,Network Performance Score (Council%2023/Council%20Period%2017/Network%20Performance%20Score%20279437990b624aefb9a51c9d640c1a69.md),,,,No,,"General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%20316dca56505a4e7bb73ee550b76e3bc9.md), Content Report (Council%2023/Council%20Period%2017/Content%20Report%20c0fb07ce60fe4b3bac5afcec8ceffcfd.md), Featuring Score (Council%2023/Council%20Period%2017/Featuring%20Score%20b6e62c2c2c5047148a307e9e388a6f14.md), Moderation Score (Council%2023/Council%20Period%2017/Moderation%20Score%20e9f8e61a8a084677b95e1fb21ffea3d1.md), Logging does not occur (Council%2023/Council%20Period%2017/Logging%20does%20not%20occur%20e62a6bd964c54fb48508e0b6b9c7f6be.md), Featured Content Unplayable (Council%2023/Council%20Period%2017/Featured%20Content%20Unplayable%208d706c2f6cb04905a7a98f6a5ba038bc.md), Failure to apply moderation rules (Council%2023/Council%20Period%2017/Failure%20to%20apply%20moderation%20rules%202190bc537ded4e6ea8b0aea1f26b0f07.md), Curation Testing Score (Council%2023/Council%20Period%2017/Curation%20Testing%20Score%2072e11dcf29c046ec9e155a38f3e8d93c.md)"
WG Opportunities,"Document, Forum Post, General WG Score, Grade",,,WORKER_OPPORTUNITIES_SCORE,Forum,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Not Completed,,,"General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%20edbf8275049f43109753aef4533b3a7b.md), General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%2036972e434a2f4cac9557bf51024cac77.md)",,,,No,,
Research Score,"Group Specific Scores, Subscore",,,RESEARCH_SCORE,Storage,,Not Completed,,,,,,,No,,
HR Score,"Composite Grade, Master Score",,,HR_SCORE,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,Not Completed,,,Network Performance Score (Council%2023/Council%20Period%2017/Network%20Performance%20Score%20279437990b624aefb9a51c9d640c1a69.md),,,,No,,"General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%2098231fe7639744ff924d622f5d28dd1f.md), HR Report (Council%2023/Council%20Period%2017/HR%20Report%20667932313edf431d920c95428ab86d91.md), Response Time (Council%2023/Council%20Period%2017/Response%20Time%20fc883d0e2477477ea9a14cde20fe99ab.md), Person Logging Score (Council%2023/Council%20Period%2017/Person%20Logging%20Score%20917750276c604ce7b5745410414b288e.md), Interaction Logging Score (Council%2023/Council%20Period%2017/Interaction%20Logging%20Score%204a09933aecbd4db7b986780236074d49.md), Bounty Management Score (Council%2023/Council%20Period%2017/Bounty%20Management%20Score%2034d6c83e66c540c991924f0eef044dc0.md)"
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Summary",,,SUMMARY_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Not Completed,,,General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%2098231fe7639744ff924d622f5d28dd1f.md),,,,No,,
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Proposal",,,PLAN_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Not Completed,,,General WG Score (Council%2023/Council%20Period%2017/General%20WG%20Score%20f53e36ec9c304ee3a8af2889b0667de8.md),,,,No,,
Builders Report,"Document, Forum Post, Grade, Group Specific Scores, Subscore",,,REPORT_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score,Not Completed,,,Builder Score (Council%2023/Council%20Period%2017/Builder%20Score%200a2f48ee46784a379341c5a839006802.md),,,,No,,
Lead Opportunities,"Grade, Master Score",,,LEAD_OPPORTUNITIES_SCORE,Council,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#lead-opportunities,Not Completed,,,Network Performance Score (Council%2023/Council%20Period%2017/Network%20Performance%20Score%20279437990b624aefb9a51c9d640c1a69.md),,,,No,,
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,Storage,,Not Completed,,,Storage Score (Council%2023/Council%20Period%2017/Storage%20Score%20397a214058b0430fa24415c31f3981f2.md),,,,No,,"WG Summary (Council%2023/Council%20Period%2017/WG%20Summary%2095545134877d48a09bcad5f4791a2b2a.md), WG Period Plan (Council%2023/Council%20Period%2017/WG%20Period%20Plan%20fc203b781ce04685959d8c54de428cda.md), WG Opportunities (Council%2023/Council%20Period%2017/WG%20Opportunities%205c90b72d60654b6dace144329076662c.md), Opening Score (Council%2023/Council%20Period%2017/Opening%20Score%20146392010dff497eb8ddf0b7af8fee60.md), Bounty Score (Council%2023/Council%20Period%2017/Bounty%20Score%20e874b440160344bc9603cae81c476f59.md)"
