"Objects size, MB",Bag ID,ObjectNumber,"Objects size, average, MB"
"79,4",2330,4,"19,9"
"8,6",2319,4,"2,2"
"6,3",2598,4,"1,6"
"4341,2",2160,250,"17,4"
"7513,8",2104,112,"67,1"
"2,3",2464,4,"0,6"
"1365,5",2318,22,"62,1"
"27,3",2360,4,"6,8"
"677,0",2022,53,"12,8"
"9,8",2510,4,"2,5"
"0,0",2165,1,"0,0"
"3,2",2441,2,"1,6"
"13,6",2303,3,"4,5"
"0,0",2238,1,"0,0"
"0,2",2190,2,"0,1"
"104,9",2105,10,"10,5"
"129,6",2187,6,"21,6"
"35,5",2522,6,"5,9"
"0,0",2349,2,"0,0"
"1,9",2564,4,"0,5"
"2,6",2379,4,"0,6"
"23,9",2302,6,"4,0"
"8,3",2418,4,"2,1"
"7,3",2571,4,"1,8"
"0,0",2356,1,"0,0"
"174,4",2123,6,"29,1"
"14,5",2473,4,"3,6"
"5,5",2626,6,"0,9"
"1014,8",2064,60,"16,9"
"0,1",2286,2,"0,0"
"9,7",2389,4,"2,4"
"87,6",2052,4,"21,9"
"5185,7",2088,130,"39,9"
