Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
WG Summary,Builders,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%202e8f7021827948c59166c5c9b3fc043e.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",Not Completed
WG Summary,Content,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20dd837f8c7c9c434298754e6e9c003ae9.md),"Document, Forum Post, General WG Score, Grade, Subscore, Summary",Not Completed
WG Summary,Forum,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,"General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%201ba8694baa7b4a02bbd6080866e24aae.md), General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%203bd013081cde4ced81e868e623ecc9c1.md)","Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",Not Completed
Council Period Summary,Council,SUMMARY_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#council-period-summary,,Network Performance Score (Council%2025/Council%20Period%2017/Network%20Performance%20Score%20c50f14132a0b46e79f6485265eceee9a.md),"Document, Forum Post, Grade, Master Score, Proposal",Not Completed
WG Summary,HR,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20b3436e8f2696406284bd27cb93fd173b.md),"Document, Forum Post, General WG Score, Grade, Proposal, Summary",Not Completed
WG Summary,Marketing,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%203bd013081cde4ced81e868e623ecc9c1.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",Not Completed
Lead Opportunities,Council,LEAD_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#lead-opportunities,,Network Performance Score (Council%2025/Council%20Period%2017/Network%20Performance%20Score%20c50f14132a0b46e79f6485265eceee9a.md),"Grade, Master Score",Not Completed
WG Opportunities,Builders,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,"General WG Score, Grade, Spot Check, Subscore",Not Completed
WG Opportunities,Storage,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,"General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20942729f52ab6475b9ab74e15b63de864.md), General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%202e8f7021827948c59166c5c9b3fc043e.md)","General WG Score, Grade, Spot Check, Subscore",Not Completed
WG Opportunities,Marketing,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,"General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%201ba8694baa7b4a02bbd6080866e24aae.md), General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%203bd013081cde4ced81e868e623ecc9c1.md)","Document, Forum Post, General WG Score, Grade",Not Completed
WG Opportunities,Distributors,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20c1c348a736cd4f71b58f5945084cd0ed.md),"General WG Score, Grade, Spot Check, Subscore",Not Completed
WG Opportunities,HR,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20b3436e8f2696406284bd27cb93fd173b.md),"General WG Score, Grade, Spot Check, Subscore",Not Completed
WG Opportunities,Content,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20dd837f8c7c9c434298754e6e9c003ae9.md),"General WG Score, Grade, Spot Check, Subscore",Not Completed
