Name,Attributes,Forum Link,Forum Report Source,Grade Name,Group,Handbook Link,JSG Grading Status,Notion Link,Notion Source Link,Parent Score,Proposal Link,Score,Score Notes,Spot Check Completed,Submitted [Block],Subscores
Logging,"Grade, Group Specific Scores, Subscore",,,LOGGING_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#system_score,Not Completed,,,Storage Score (Council%2019/Council%20Period%2017/Storage%20Score%20c380557551ae497abf7eba1f35e5f4e0.md),,,,No,,
Meeting score,"Forum Post, Master Score",,,MEETING_SCORE,Council,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-handover-meeting,Not Completed,,,Network Performance Score (Council%2019/Council%20Period%2017/Network%20Performance%20Score%20991b4d2a715d43ebab0d39e3e837c8ee.md),,,,No,,
Testing,"Grade, Group Specific Scores, Spot Check, Subscore",,,TESTING_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#testing_score,Not Completed,,,Builder Score (Council%2019/Council%20Period%2017/Builder%20Score%20e18ea83757e740d48d03c22829427897.md),,,,No,,
Upgrading non-Jsgenesis runtime,"Catastrophic Errors, Grade, Spot Check",,,,Council,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#upgrading-non-jsgenesis-runtime,Not Completed,,,,,,,No,,
Moderation Score,"Grade, Group Specific Scores, Spot Check",,,MODERATION_SCORE,Forum,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#moderation_score,Not Completed,,,Forum Score (Council%2019/Council%20Period%2017/Forum%20Score%20af959b9518cd4052a7811093f632214d.md),,,,No,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,Builders,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,General WG Score (Council%2019/Council%20Period%2017/General%20WG%20Score%2016d685191f14470880431e1e0f3bac24.md),,,,No,,
Moderation Score,"Group Specific Scores, Subscore",,,MODERATION_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,Not Completed,,,Content Score (Council%2019/Council%20Period%2017/Content%20Score%201a936184f4eb42a4bcceb16d4eee331b.md),,,,No,,Total Breaches of Policy (Council%2019/Council%20Period%2017/Total%20Breaches%20of%20Policy%205177f23564684cea87d984113f4c3465.md)
Bounty Score,"General WG Score, Subscore",,,BOUNTY_SCORE,Marketing,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,"General WG Score (Council%2019/Council%20Period%2017/General%20WG%20Score%20b358362f341146c4a442e9a3989c7936.md), General WG Score (Council%2019/Council%20Period%2017/General%20WG%20Score%2072c000e89e634d0184d9ffc6998c2d14.md)",,,,No,,
Council Period Plan,"Document, Forum Post, Grade, Master Score, Proposal",,https://dao.joystream.org/#/forum/category/4,PLAN_SCORE,Council,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,Not Completed,,,Network Performance Score (Council%2019/Council%20Period%2017/Network%20Performance%20Score%20991b4d2a715d43ebab0d39e3e837c8ee.md),,,,No,,
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,Not Completed,,,Content Score (Council%2019/Council%20Period%2017/Content%20Score%201a936184f4eb42a4bcceb16d4eee331b.md),,,,No,,"WG Opportunities (Council%2019/Council%20Period%2017/WG%20Opportunities%20e58ce76e745343719096151d41cc84e5.md), WG Summary (Council%2019/Council%20Period%2017/WG%20Summary%206526be2f10df4a79a9484d8486d89370.md), WG Period Plan (Council%2019/Council%20Period%2017/WG%20Period%20Plan%2010f9d88e76c247869e4c39e9bed4f98e.md), Opening Score (Council%2019/Council%20Period%2017/Opening%20Score%20b6e8039e5a0a46ae902962ea3f99b679.md), Bounty Score (Council%2019/Council%20Period%2017/Bounty%20Score%20c4449baaad804064bee6f95ea16a21b6.md)"
