Name,Attributes,Builder Weight,Content Weight,Deadline (Local Time),Deadline [block],Deadline timestamp,Distributor Weight,Effective Deadline,Forum Link,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,JSG Grading Status,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Proposal Link,Reports Gathered,Score,Score Notes,Score Type,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores,Summary Weight,Summary Weight link
Content Report,Forum Post,,,,,,,,,,,REPORT_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#report_score,,Not Completed,,,,,,,Content Score (Council%20Scoring%20Template/Content%20Score%2049ef6ba036f84f85a96cc54a97e9fecb.csv),,,,,,No,,,Subscore,No,,,,,,,
Distributors Report,"Document, Forum Post, Grade, Subscore",,,,,,,,,https://dao.joystream.org/#/forum/category/15,,REPORT_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#report_score,,Not Completed,,,,,,,Distributor Score (Council%20Scoring%20Template/Distributor%20Score%208001afa9bc46453d9d96577079fcff8f.csv),,,,,,No,,,Subscore,No,,,,,,,
Notification Score,"Grade, Spot Check",,,,,,,,,,,NOTIFICATION_SCORE,Forum,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#notification_score,,Not Completed,,,,,,,Forum Score (Council%20Scoring%20Template/Forum%20Score%207cede6a43e0d4889a18f264d87c77052.csv),,,,,,No,,,,No,,,,,,,
Violation of Content Policy,Catastrophic Errors,,,,,,,,,,,,Forum,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#catastrophic-errors,,Not Completed,,,,,,,,,,,,,No,,,,No,,,,,,,
Pioneer Development,"Grade, Spot Check, Subscore",,,,,,,,,,,PIONEER_DEVELOPMENT_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#pioneer_development_score,,Not Completed,,,,,,,Builder Score (Council%20Scoring%20Template/Builder%20Score%20a944639ab3154a6c8820d3a520ac940c.csv),,,,,,No,,,Subscore,No,,,,,,,
WG Opportunities,"Grade, Spot Check, Subscore",,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,Not Completed,,,,,,,"General WG Score (Council%20Scoring%20Template/General%20WG%20Score%20f6f7f193f67b4955836e972909be5f32.csv), General WG Score (Council%20Scoring%20Template/General%20WG%20Score%20a622abe47722405ea22accf74c2c666a.csv)",,,,,,No,,,Subscore,No,,,,,,,
General WG Score,Composite Grade,,,,,,,,,,,GENERAL_WG_SCORE,Builders,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,,Not Completed,,,,,,,Builder Score (Council%20Scoring%20Template/Builder%20Score%20a944639ab3154a6c8820d3a520ac940c.csv),,,,,,No,,,Subscore,No,,,,,"WG Period Plan (Council%20Scoring%20Template/WG%20Period%20Plan%20e0d0fc1caba64d01b5e5776ae437db56.csv), WG Summary (Council%20Scoring%20Template/WG%20Summary%2013252d331e374763a135d8c264e6a65a.csv), WG Opportunities (Council%20Scoring%20Template/WG%20Opportunities%2074e1f7b28b0243bfa095151da3424842.csv)",,
Moderation Score,"Grade, Spot Check",,,,,,,,,,,MODERATION_SCORE,Forum,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#moderation_score,,Not Completed,,,,,,,Forum Score (Council%20Scoring%20Template/Forum%20Score%207cede6a43e0d4889a18f264d87c77052.csv),,,,,,No,,,,No,,,,,,,
WG Opportunities,"Grade, Spot Check, Subscore",,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,Not Completed,,,,,,,General WG Score (Council%20Scoring%20Template/General%20WG%20Score%207f863eda017948639c9705f7b2fe5afd.csv),,,,,,No,,,,No,,,,,,,
Forum Report,"Document, Forum Post, Grade, Subscore",,,,,,,,,,,REPORT_SCORE,Forum,,,,Not Completed,,,,,,,Forum Score (Council%20Scoring%20Template/Forum%20Score%207cede6a43e0d4889a18f264d87c77052.csv),,,,,,No,,,,No,,,,,,,
Block time too low,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#block-time-too-low,,Not Completed,,,,,,,,,,,,,No,,,Subscore,No,,,,,,,
WG Opportunities,"Grade, Spot Check, Subscore",,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,Not Completed,,,,,,,,,,,,,No,,,Subscore,No,,,,,,,
Lead Opportunities,Grade,,,,,,,,,,,LEAD_OPPORTUNITIES_SCORE,Council,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#lead-opportunities,,Not Completed,,,,,,,Network Performance Score (Council%20Scoring%20Template/Network%20Performance%20Score%202462aee42afc42af974591cbd43b30b5.csv),,,,,,No,,,Main Score,No,,,,,,,
WG Summary,"Document, Forum Post, Grade",,,,,,,,,,,SUMMARY_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,Not Completed,,,,,,,General WG Score (Council%20Scoring%20Template/General%20WG%20Score%207f863eda017948639c9705f7b2fe5afd.csv),,,,,,No,,Forum post did not include markdown,Subscore,No,,,,,,,
Missed runtime upgrade,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#missed-runtime-upgrade,,Not Completed,,,,,,,,,,,,,No,,,Subscore,No,,,,,,,
WG Period Plan,"Document, Forum Post, Grade, Subscore",,,,,,,,,,,PLAN_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,Not Completed,,,,,,,General WG Score (Council%20Scoring%20Template/General%20WG%20Score%20f6f7f193f67b4955836e972909be5f32.csv),,,,,,No,,,Subscore,No,,,,,,,
General WG Score,Composite Grade,,,,,,,,,,,GENERAL_WG_SCORE,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,,Not Completed,,,,,,,HR Score (Council%20Scoring%20Template/HR%20Score%2063185f16d5d74d65a27484bdcf6b6efb.csv),,,,,,No,,,,No,,,,,"WG Period Plan (Council%20Scoring%20Template/WG%20Period%20Plan%20036dfef3e2e446a29e6ec46e20d931c0.csv), WG Summary (Council%20Scoring%20Template/WG%20Summary%206381a9eb26e54e35b62dbe28b7a544b4.csv), WG Opportunities (Council%20Scoring%20Template/WG%20Opportunities%20d6efa7f3d529479e9dfa79be6ec54c17.csv)",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,,,,,,,
