Number,Joystream DAO Workers Record,Property,Tasks," 1",Change in Salary / Rational,Weekly Summary of Tasks 01,End of Week Performance Remark 01,Weekly Summary of Tasks 02,End of Week Performance Remark 02,Weekly Summary of Tasks 03,End of Week Performance Remark 03,End of Term General Performance Remark,Related to Proposals (Assigned),Related to Proposals (Assigned) 1
27,Songoku,FWG Lead,"Joystream DAO Marketing Working Group Plan (https://www.notion.so/Joystream-DAO-Marketing-Working-Group-Plan-255c5c97237849e1badb283f75a4d934?pvs=21), Hire a business strategy manager (https://www.notion.so/Hire-a-business-strategy-manager-2b166dd3a7ae47529e3410a8cdb4380a?pvs=21), DEPUTY FOR EVERY WG (https://www.notion.so/DEPUTY-FOR-EVERY-WG-d4440b96b8f04af397bfc8b9f387253e?pvs=21), Warm up community metrics (https://www.notion.so/Warm-up-community-metrics-db4fea32286643bbbfa47173121e9610?pvs=21), ""FAQ Channel"" on Discord (https://www.notion.so/FAQ-Channel-on-Discord-ff216fdbfd554e34a9d4321e8cf1e23a?pvs=21), Joystream Hackathon (https://www.notion.so/Joystream-Hackathon-984737a5307047d9a6cd98630c19b8c8?pvs=21), Discord Channel For Official Links Discussion (https://www.notion.so/Discord-Channel-For-Official-Links-Discussion-75a90b38d7854423ad0063f261476705?pvs=21), Joystream DAO Crew³ Marketing (https://www.notion.so/Joystream-DAO-Crew-Marketing-020ac30876f743749a4af322b178cd2e?pvs=21), Salaries alignment for SP and DP workers (https://www.notion.so/Salaries-alignment-for-SP-and-DP-workers-304c4b1d93ce43dd82f6d3a28bac2a35?pvs=21)",576.4 $JOY / $34.6,,https://www.notion.so/3143532dd69c4c2cbfefdd6d6818dce2?pvs=21,OK,,,,,,"Untitled (https://www.notion.so/bb32d142361b4e079beeb16564ba9300?pvs=21), Untitled (https://www.notion.so/0c90d23588a843b1b2143722adcbd098?pvs=21), Untitled (https://www.notion.so/6ea155787d4140fd9692644ecaf50135?pvs=21), Untitled (https://www.notion.so/1370b52cea3d468495a76c5ed9ca566b?pvs=21), Untitled (https://www.notion.so/a9792d198092442e95390070a6aee1fe?pvs=21), Untitled (https://www.notion.so/24217eae416e4d058fa28312b4ccb123?pvs=21), Untitled (https://www.notion.so/e723912c53684c6a9e41abf8ae528c3b?pvs=21), Untitled (https://www.notion.so/9176c0c94aa44a92b0a2ed02f85716c1?pvs=21), Untitled (https://www.notion.so/0ea3ada64fab49b48c48b07564990234?pvs=21)","Untitled (https://www.notion.so/1b698a2d4b824484b6c54be725f97b5e?pvs=21), Untitled (https://www.notion.so/31ca9ef7a46844b79c29f35edcadd79d?pvs=21), Untitled (https://www.notion.so/5e41543e6a3a4e6da4e657710c419e9a?pvs=21), Untitled (https://www.notion.so/6022b4d7059c4d178c9a5c672d1e9f5e?pvs=21), Untitled (https://www.notion.so/a03642719a5c4ebf94e09f0fcc301591?pvs=21), Untitled (https://www.notion.so/a7d4d20ae5444f9e800c1bac4fb7354f?pvs=21), Untitled (https://www.notion.so/ad8c168146df450cbac89cc509f26c16?pvs=21), Untitled (https://www.notion.so/cbf797b594ec4b9aa7ed1c2255bbaf01?pvs=21), Untitled (https://www.notion.so/f24805e72cde49a28330c17c178da1bb?pvs=21)"
28,dapplooker,BWG Worker,,500 $JOY / $30,,dapplooker service improvement (WIP),,,,,,,,
29,Deathix,DWG Worker,,289.8 $JOY / $17.39,,,,,,,,,,
30,gyroflaw,BWG Worker,,278.96 $JOY / $16.7,833$JOY (Builder Salary Reset Each Term),https://github.com/gyroflaw/joy-disco-bots/issues/10 (WIP),,,,,,,,
31,sieemma,DWG Worker,,144.9 $JOY / $8.7,,,,,,,,,,
32,TheGrimSavage,BWG Worker,,559.25 $JOY / $33.55,555$JOY (Builder Salary Reset Each Term),https://github.com/Joystream/pioneer/issues/2321https://github.com/Joystream/pioneer/issues/2365 (WIP),,,,,,,,
33,Kriptos,BWG Worker,New Discord Roles (https://www.notion.so/New-Discord-Roles-3489cb25fe214aaaa5b8ffbbb06ee518?pvs=21),555 $JOY / $33.3,,Community Tech Support,,,,,,,Untitled (https://www.notion.so/c3d55101c21743c0bcd3eacb2d5eaccd?pvs=21),Untitled (https://www.notion.so/6dfc8f9f64a24202bfabfcd6d69ad45d?pvs=21)
34,freakstatic,BWG Worker,,,0 $JOY (Builder Salary Reset Each Term),https://github.com/Joystream/pioneer/issues/4125https://github.com/Joystream/pioneer/issues/4121 (WIP),,,,,,,,
35,lkskrn,DWG + BWG Worker,,,555$JOY (Builder Salary Reset Each Term),https://github.com/Joystream/pioneer/issues/2321https://github.com/Joystream/pioneer/issues/2365 (WIP),,,,,,,,
36,ninjafire,BWG Worker,,,555$JOY (Builder Salary Reset Each Term),validator page design (WIP),,,,,,,,
37,ImStaked,DWG Worker,,,,,,,,,,,,
38,GokselAtasert08,SWG Worker,,556.33 $JOY / $33.4,,,,,,,,,,
39,Arseniy2706,CWG Worker,,259.2 $JOY / $15.55,,,,,,,,,,
40,Prontera,CWG Worker,,259.2 $JOY / $15.55,,,,,,,,,,
41,"Counsellor ",CWG Worker,,259.2 $JOY / $15.55,,,,,,,,,,
,jen,,"Strict Handover Meeting Program (https://www.notion.so/Strict-Handover-Meeting-Program-7b697d3f0cbf44df84a788a41873e9b8?pvs=21), Checkpoints (https://www.notion.so/Checkpoints-a0ed698d05854121ab0e142d84086f64?pvs=21), Workshop - Introduction to Joystream Tools (https://www.notion.so/Workshop-Introduction-to-Joystream-Tools-5abbf2af828f4c65ad3a265c97c7c6a4?pvs=21), DEPUTY FOR EVERY WG (https://www.notion.so/DEPUTY-FOR-EVERY-WG-d4440b96b8f04af397bfc8b9f387253e?pvs=21), Handover schedule (https://www.notion.so/Handover-schedule-9dc7c264afbb46d880fb76d5b4df2a75?pvs=21), ""Leads Scoring System"" Discussion (https://www.notion.so/Leads-Scoring-System-Discussion-b2241d7c5cbd4a26bab4701aa151a941?pvs=21), Handover Meeting Flow (https://www.notion.so/Handover-Meeting-Flow-107cc6c331d94a888459c5048023d9ea?pvs=21), Addressing Salary Differences in the DAO (https://www.notion.so/Addressing-Salary-Differences-in-the-DAO-e0f49df169434bb0860ed8d6c06ed105?pvs=21)",,,,,,,,,,"Untitled (https://www.notion.so/64a2052115a44f8ab6bf2e67395a10e8?pvs=21), Untitled (https://www.notion.so/5e6970d631f04d50ada565362521d131?pvs=21), Untitled (https://www.notion.so/66f3ed1ecca241979d5ad0ad7ed7d180?pvs=21), Untitled (https://www.notion.so/1973d72899f24c7b89a385d39cae5f11?pvs=21), Untitled (https://www.notion.so/34b39805f459457db624940d715d2360?pvs=21), Untitled (https://www.notion.so/444a5354835e42bab70133eef87d99d4?pvs=21), Untitled (https://www.notion.so/e723912c53684c6a9e41abf8ae528c3b?pvs=21), Untitled (https://www.notion.so/c144209ff06d4fe7b633d6fe659c0d16?pvs=21)","Untitled (https://www.notion.so/158013451fe64d47b722926256163116?pvs=21), Untitled (https://www.notion.so/187e6dc8f5bb4abb9a47fc5ac335b00d?pvs=21), Untitled (https://www.notion.so/9384b80f559249638f5db332a29e3585?pvs=21), Untitled (https://www.notion.so/ad8c168146df450cbac89cc509f26c16?pvs=21), Untitled (https://www.notion.so/b778114ccd3c4082832be2c48504f6fb?pvs=21), Untitled (https://www.notion.so/b7f200f45b03431192ff31bc8fb8d9bf?pvs=21), Untitled (https://www.notion.so/c27b3ceb76fd4d25ac76f3ccbab78dc5?pvs=21), Untitled (https://www.notion.so/e49500d5bc8f4000b7fc574b1c104c65?pvs=21)"
,Mariia,,"Rewards Carthage/Rhodes (https://www.notion.so/Rewards-Carthage-Rhodes-ce61526d8b1a482c902177d33c264cb3?pvs=21), Rewards Carthage/Rhodes (https://www.notion.so/Rewards-Carthage-Rhodes-62b08c89c15f4ced8054af5a77a60b4f?pvs=21)",,,,,,,,,,"Untitled (https://www.notion.so/39c708c11e634cbcb8ebbf39da223c4d?pvs=21), Untitled (https://www.notion.so/619430f097ac4c9584a69b09e16a9bc8?pvs=21)","Untitled (https://www.notion.so/ac7edc66c19d41ff92e41f21555e3f7a?pvs=21), Untitled (https://www.notion.so/c8b803b5fc12475a95ef2e96879802af?pvs=21)"
