"Objects size, MB",Bag ID,ObjectNumber,"Objects size, average, MB"
"0,0",2165,1,"0,0"
"159,2",2282,22,"7,2"
"0,0",2261,2,"0,0"
"1681,1",2246,4,"420,3"
"15224,1",2139,400,"38,1"
"912,3",2219,4,"228,1"
"740,2",2090,23,"32,2"
"4710,3",2269,60,"78,5"
"26,5",2339,4,"6,6"
"1086,3",2070,35,"31,0"
"809,3",2119,37,"21,9"
"1105,3",2044,74,"14,9"
"5345,2",2097,83,"64,4"
"0,0",2184,1,"0,0"
"150,1",2241,2,"75,1"
