Name,Attributes,Builder Weight,Content Weight,Deadline [block],Deadline timestamp,Distributor Weight,Forum Link,Forum Post Required?,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Proposal Link,Proposal Required?,Reports Gathered,Score,Score Notes,Score Status,Score Type,Scoring Weights,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [date/time],Subscores,Summary Weight,Summary Weight link
Network Performance Score,"Composite Grade, Overall Grade",,,,,,,,,,NETWORK_PERFORMANCE_SCORE,Network,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,,,,,,,,,,,,,,,No,0.612,,Ready for review,,,No,,,,"Builder Score (Council%206/Council%20Period%206/Builder%20Score%20b1cb26ff0c95494298f594c5c9f29bbe.md), Content Score (Council%206/Council%20Period%206/Content%20Score%20c634a6221d584e519cb09f82dfd95a0a.md), Distributor Score (Council%206/Council%20Period%206/Distributor%20Score%20998f4998e98247aab958933b3ca7bd9e.md), Storage Score (Council%206/Council%20Period%206/Storage%20Score%2081b017cd1afa4f8b9ceebde3f66d7d6a.md), HR Score (Council%206/Council%20Period%206/HR%20Score%209fd43cc681f94368a75567de8fb0b903.md), Council Period Summary (Council%206/Council%20Period%206/Council%20Period%20Summary%20980e48608d964850b36fd4f7569726f0.md), Council Period Plan (Council%206/Council%20Period%206/Council%20Period%20Plan%20152c64cd4ae44ff4875b56d2b6e57e89.md), Lead Opportunities (Council%206/Council%20Period%206/Lead%20Opportunities%20435db2cc7aca4111bddfc088e3b70ffa.md)",,
Council Daily Sync,"Forum Post, Subscore",,,,,,,,,,,Council,,,,,,,,,,,,,,,,,No,,No Forum Post found,Ready for review,Subscore,,No,,,,,,
Interaction Logging Score,,,,,,,,,,,INTERACTION_LOGGING_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#interaction_logging_score,,,,,,,,HR Score (Council%206/Council%20Period%206/HR%20Score%209fd43cc681f94368a75567de8fb0b903.md),,,,,,,No,0.333,,Ready for review,Subscore,,Yes,,,,,,
Missed runtime upgrade,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#missed-runtime-upgrade,,,,,,,,,,,,,,,No,0,,Ready for review,Subscore,,No,,,,,,
Inadequate Report,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#inadequate-report,,,,,,,,,,,,,,,No,0,,Ready for review,,,No,,,,,,
Missing Judgement,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#catastrophic-errors,,,,,,,,,,,,,,,No,0,,Ready for review,,,No,,,,,,
Pioneer Development,"Grade, Spot Check, Subscore",,,,,,,,,,PIONEER_DEVELOPMENT_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#pioneer_development_score,,,,,,,,Builder Score (Council%206/Council%20Period%206/Builder%20Score%20b1cb26ff0c95494298f594c5c9f29bbe.md),,,,,,,No,0.5,,Ready for review,,,No,,,,,,
HR Report,,,,651600,1651984230000,,https://dao.joystream.org/#/forum/thread/95,,,,REPORT_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#report_score,,,,,"REPORT_SCORE (https://www.notion.so/REPORT_SCORE-a3d11b8ebb004f498af8bef915bff6a9?pvs=21) ",,,HR Score (Council%206/Council%20Period%206/HR%20Score%209fd43cc681f94368a75567de8fb0b903.md),,,,,,,Yes,0.9,,Ready for review,Subscore,,Yes,,632396,,,,
WG Opportunities,"Grade, Spot Check, Subscore",,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,,,,,20%,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%20941ec7ffee524ac9b25a6b23fc214473.md),,,,,,,No,0.2,,Ready for review,,,No,,,,,,
Block time too low,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#block-time-too-low,,,,,,,,,,,,,,,No,0,,Ready for review,Subscore,,No,,,,,,
WG Period Plan,"Document, Forum Post, Grade",,,571200,,,,,,,PLAN_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,,,,,,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%207b052f9c6c404526a0fd70a7b0f34877.md),,,,,,,No,0,No Submission found (at all),Ready for review,Subscore,,No,,,,,,
General WG Score,Composite Grade,,,,,,,,,,GENERAL_WG_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,,,,,,,,Content Score (Council%206/Council%20Period%206/Content%20Score%20c634a6221d584e519cb09f82dfd95a0a.md),,,,,,,No,0.3,,Ready for review,,,No,,,,"WG Opportunities (Council%206/Council%20Period%206/WG%20Opportunities%204f7c9342925f42fa94ca3c6ac7998065.md), WG Summary (Council%206/Council%20Period%206/WG%20Summary%20453180fd25fe4c8bab2bd534065bd002.md), WG Period Plan (Council%206/Council%20Period%206/WG%20Period%20Plan%20ceb4d61586fa4e21971b2013b6de339d.md)",,
Permanent Data Object Loss,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,Storage,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#permanent-data-object-loss,,,,,"Objects permanently lost (https://www.notion.so/1614bddabb7c463a803e440e6e468607?pvs=21) ",,,,,,,,,,No,0,,Ready for review,Subscore,,No,,,,,,
Response Score,,,,,,,,,,,RESPONSE_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,,,,,,,,Moderation Score (Council%206/Council%20Period%206/Moderation%20Score%20ab9972a0b74d41a38deb45c4f134540f.md),,,,,,,No,1,,Ready for review,,,No,,,,,,
Lead Opportunities,Grade,,,,,,,,,,LEAD_OPPORTUNITIES_SCORE,Council,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#lead-opportunities,,,,,,,20%,Network Performance Score (Council%206/Council%20Period%206/Network%20Performance%20Score%207a748a829e6b470392b267f1d974c1de.md),,,,,,,No,0.25,,Ready for review,Main Score,,No,,,,,,
Featured Content Unplayable,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#featured-content-unplayable,,,,,,,,Content Score (Council%206/Council%20Period%206/Content%20Score%20c634a6221d584e519cb09f82dfd95a0a.md),,,,,,,No,0,,Ready for review,,,No,,,,,,
Builder Score,"Composite Grade, Master Group Score",4,2,,,3,,,,0,BUILDER_SCORE,Builders,4,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,1,1,0,0,,,,Network Performance Score (Council%206/Council%20Period%206/Network%20Performance%20Score%207a748a829e6b470392b267f1d974c1de.md),1,,2,4,,,No,0.613,,Ready for review,,Council 6 (Council%206%2089067a983ab549d79c8ff0d43bab97f0.md),No,3,,,"General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%206caa3f7d533344aeb72a5c71c830c1d1.md), Builders Report (Council%206/Council%20Period%206/Builders%20Report%201ad24836693d4c61918a69018c5735f2.md), Testing (Council%206/Council%20Period%206/Testing%20e1b67091f4c146db8fc8b269e336037d.md), Pioneer Development (Council%206/Council%20Period%206/Pioneer%20Development%209aece1d97d5a4d48b1e0bd6ab77da210.md), General Development (Council%206/Council%20Period%206/General%20Development%2077185cbb46e843a492b38b52c83b82b5.md)",,1
Testing,"Grade, Spot Check, Subscore",,,,,,,,,,TESTING_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#testing_score,,,,,,,,Builder Score (Council%206/Council%20Period%206/Builder%20Score%20b1cb26ff0c95494298f594c5c9f29bbe.md),,,,,,,No,0.2,,Ready for review,,,No,,,,,,
WG Opportunities,"Document, Forum Post, Grade",,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Forum,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,,,,,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%2075ed452e94134129ab3efe4fe38feb3b.md),,,,,,,No,0,,Ready for review,,,No,,,,,,
Categories Score,,,,,,,,,,,CATEGORIES_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,,,,,,,Featuring Score (Council%206/Council%20Period%206/Featuring%20Score%20e5fdb9760821428b9d22101f632e5a00.md),,,,,,,No,0,,Ready for review,,,No,,,,,,
On chain Budget and Opening proposals without JOY equivalent,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#on-chain-budget-and-opening-proposals-without-joy-equivalent,,,,,,,,,,,,,,,No,0,,Ready for review,Subscore,,No,,,,,,
WG Summary,"Document, Forum Post, Grade, Subscore",,,651600,1651984230000,,https://dao.joystream.org/#/forum/thread/94,,,,SUMMARY_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,,,,,,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%207b052f9c6c404526a0fd70a7b0f34877.md),,,,,,,No,0.1,No Submission found (at all),Ready for review,Subscore,,No,,,,,,
Research,Composite Grade,,,,,,,,,,RESEARCH_SCORE,Storage,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#research_score,,,,,,,,Storage Score (Council%206/Council%20Period%206/Storage%20Score%2081b017cd1afa4f8b9ceebde3f66d7d6a.md),,,,,,,No,0,,Ready for review,Subscore,,No,,,,"Default Logging (Council%206/Council%20Period%206/Default%20Logging%207d1d89a1011d4c639923ce3f3f34e5b5.md), Elastic Logging (Council%206/Council%20Period%206/Elastic%20Logging%2080cb1c68cc2e4c5fb0f980b2a134d8d1.md), Performance Logging (Council%206/Council%20Period%206/Performance%20Logging%20340fe0f376bf4858b4d344ff74339f6f.md)",,
WG Opportunities,"Grade, Spot Check, Subscore",,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,,,,,2000%,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%207b052f9c6c404526a0fd70a7b0f34877.md),,,,,,,No,0.333,,Ready for review,Subscore,,No,,,,,,
WG Period Plan,Forum Post,,,571200,,,https://dao.joystream.org/#/forum/thread/95,Yes,,,PLAN_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,,,,"Working Group Period Plan (https://www.notion.so/Working-Group-Period-Plan-b8506fa4ecaa49139d55cb13af863546?pvs=21) ",,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%200b306de549b5431e9ce42d7d2adf1e7d.md),,,,,,,Yes,0.8,"Forum post did not include markdown, Late submission",Ready for review,,,No,,632396,"May 7, 2022 9:25 PM (GMT+1)",,,
WG Summary,"Document, Forum Post, Grade",,,651600,1651984230000,,https://dao.joystream.org/#/forum/thread/95,Yes,,,SUMMARY_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,,,,"Working Group Summary (https://www.notion.so/Working-Group-Summary-bc439061142e4d9ea48c05d1c9611aab?pvs=21) ",,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%200b306de549b5431e9ce42d7d2adf1e7d.md),,,,,,No,Yes,0.7,,Ready for review,Subscore,,No,,632396,"May 7, 2022 4:02 PM (GMT+1)",,,
Upgrading non-Jsgesnesis runtime,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#upgrading-non-jsgenesis-runtime,,,,,,,,,,,,,,,No,0,,Ready for review,Subscore,,No,,,,,,
Notification Score,"Grade, Spot Check",,,,,,,,,,NOTIFICATION_SCORE,Forum,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#notification_score,,,,,,,,Forum Score (Council%206/Council%20Period%206/Forum%20Score%201e813832d399406cae5bc661d0fed782.md),,,,,,,No,0,,Ready for review,,,No,,,,,,
Distributors Report,"Document, Forum Post, Grade, Subscore",,,651600,1651984230000,,https://dao.joystream.org/#/forum/thread/94,,https://dao.joystream.org/#/forum/category/15,,REPORT_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#report_score,,,,,"Untitled (https://www.notion.so/bf09bdcc4a6c48639b4c0a8e76f5b58e?pvs=21) ",,,Distributor Score (Council%206/Council%20Period%206/Distributor%20Score%20998f4998e98247aab958933b3ca7bd9e.md),,,,,,,Yes,0.9,,Ready for review,Main Score,,No,,629334,"May 6, 2022 6:49 PM (GMT+1)",,,
Uploads,Grade,,,,,,,,,,UPLOAD_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#upload_score,,,,,,,,Storage Score (Council%206/Council%20Period%206/Storage%20Score%2081b017cd1afa4f8b9ceebde3f66d7d6a.md),,,,,,,No,0.714,,Ready for review,Subscore,,No,,,,,,
Research,,,,,,,,,,,RESEARCH_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#research_score,,,,,,,,Distributor Score (Council%206/Council%20Period%206/Distributor%20Score%20998f4998e98247aab958933b3ca7bd9e.md),,,,,,,No,0,,Ready for review,Main Score,,No,,,,"Default Logging (Council%206/Council%20Period%206/Default%20Logging%20a3727b92c8364e03a2457e5d507665a9.md), Elastic Logging (Council%206/Council%20Period%206/Elastic%20Logging%2071a5dc7dd3d443e18e5c2b1bdabca722.md), Performance Logging (Council%206/Council%20Period%206/Performance%20Logging%206ff22cba4331423986d0fe4cc6379eab.md)",,
Storage Report,"Document, Forum Post, Grade",,,651600,1651984230000,,https://dao.joystream.org/#/forum/thread/99,Yes,https://dao.joystream.org/#/forum/category/13,,REPORT_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#report_score,,,,,"Storage WG Status Report 5 (https://www.notion.so/Storage-WG-Status-Report-5-e4a4a39f046641bd9b10d10006991877?pvs=21) ",,,Storage Score (Council%206/Council%20Period%206/Storage%20Score%2081b017cd1afa4f8b9ceebde3f66d7d6a.md),,,,,,,Yes,0.9,,Ready for review,Subscore,,No,,652715,"May 8, 2022 7:25 AM (GMT+1)",,,
