Bag ID,ObjectNumber,"Objects size, MB","Objects size, average, MB"
2116,9,"1660,7","184,5"
2117,5,"193,0","38,6"
2118,42,"6535,8","155,6"
2119,37,"809,3","21,9"
2120,6,"207,3","34,5"
2121,15,"989,0","65,9"
2122,4,"446,3","111,6"
2123,6,"174,4","29,1"
2124,8,"22,6","2,8"
2125,86,"3466,1","40,3"
2126,341,"17516,9","51,4"
2127,354,"19746,2","55,8"
2128,48,"762,4","15,9"
2129,11,"246,5","22,4"
2130,6,"1699,8","283,3"
2131,8,"1010,2","126,3"
2132,5,"43,4","8,7"
2133,8,"823,2","102,9"
2134,6,"278,3","46,4"
2135,8,"498,6","62,3"
2136,222,"9488,3","42,7"
2137,106,"9654,5","91,1"
2138,13,"6971,6","536,3"
2139,400,"15224,1","38,1"
2140,38,"1611,9","42,4"
2141,40,"636,6","15,9"
