Name,Assignee,Last Updated,Last edited time,Parent item,Progress,Quarter,Roadmap,Status,Sub-item
[2024 Q2] HR WG,,,"June 18, 2024 6:45 PM",,,,,,O1: Keeping community informed and engaged (OKRs/Joystream%20OKRs/O1%20Keeping%20community%20informed%20and%20engaged%206f7b3924b22c440e9f530db7747355af.md)
O1: Grow market capitalisation,Content WG,,"June 20, 2024 10:30 AM",[2024 Q2] Content WG (OKRs/Joystream%20OKRs/%5B2024%20Q2%5D%20Content%20WG%20b5a08073208e4559a5018b0c6ab326f7.md),,,,,"KR1.1: Ship incremental improvements of CRTs (OKRs/Joystream%20OKRs/KR1%201%20Ship%20incremental%20improvements%20of%20CRTs%20714cbf17c40e4f58bc4fe3ecf718e4ed.md), KR1.2: ChangeNow modal in Gleev is visited by 5% of all users (OKRs/Joystream%20OKRs/KR1%202%20ChangeNow%20modal%20in%20Gleev%20is%20visited%20by%205%25%20of%201fcc2325a0f1480590fe81850b016ba5.md), KR1.3: Hold 2 creator roundtable events (OKRs/Joystream%20OKRs/KR1%203%20Hold%202%20creator%20roundtable%20events%20267eb42fba9b48b19b41604cb84d6940.md), KR1.4: Grow creators Discord community to 300 participants (role = creator) (OKRs/Joystream%20OKRs/KR1%204%20Grow%20creators%20Discord%20community%20to%20300%20parti%208b826c3c951b40e2a4090cb93cd0e91a.md)"
KR1.1: Ship incremental improvements of CRTs,Content WG,,"June 20, 2024 10:30 AM",O1: Grow market capitalisation (OKRs/Joystream%20OKRs/O1%20Grow%20market%20capitalisation%20b09e5272d90b41938a4d094f62a26e31.md),◾️◾️◾️◾️◾️◾️◾️◽️◽️◽️70%,,,On track ✅,
KR1.2: ChangeNow modal in Gleev is visited by 5% of all users,Content WG,,"June 20, 2024 10:30 AM",O1: Grow market capitalisation (OKRs/Joystream%20OKRs/O1%20Grow%20market%20capitalisation%20b09e5272d90b41938a4d094f62a26e31.md),◾️◽️◽️◽️◽️◽️◽️◽️◽️◽️10%,,,At risk ⚠️,
KR1.3: Hold 2 creator roundtable events,Content WG,,"June 20, 2024 10:30 AM",O1: Grow market capitalisation (OKRs/Joystream%20OKRs/O1%20Grow%20market%20capitalisation%20b09e5272d90b41938a4d094f62a26e31.md),◾️◾️◾️◾️◾️◽️◽️◽️◽️◽️50%,,,At risk ⚠️,
KR1.4: Grow creators Discord community to 300 participants (role = creator),Content WG,,"June 20, 2024 10:32 AM",O1: Grow market capitalisation (OKRs/Joystream%20OKRs/O1%20Grow%20market%20capitalisation%20b09e5272d90b41938a4d094f62a26e31.md),◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,,,Completed ⭐️,
O2: Strive for product-market fit,Content WG,,"June 20, 2024 10:30 AM",[2024 Q2] Content WG (OKRs/Joystream%20OKRs/%5B2024%20Q2%5D%20Content%20WG%20b5a08073208e4559a5018b0c6ab326f7.md),,,,,"KR2.1: Measure NPS and create roadmap targeting critical feedback items. (comment: I don't think NPS can be substantially increased over the course of 1.5 months) (OKRs/Joystream%20OKRs/KR2%201%20Measure%20NPS%20and%20create%20roadmap%20targeting%20cri%2038942660fbdd49fb8a51edbe16861d11.md), KR2.2: MAU and DAU to increase by 30% not less than 30,000 quests. (OKRs/Joystream%20OKRs/KR2%202%20MAU%20and%20DAU%20to%20increase%20by%2030%25%20not%20less%20than%20f97f5f89bb504176adcb0371db1e953f.md), KR2.3: Average session duration increase by 30% (OKRs/Joystream%20OKRs/KR2%203%20Average%20session%20duration%20increase%20by%2030%25%20400c4addb1474637951dcf51f7ac3972.md), KR2.4: Avg session number per user per month by 30% 4 weeks after start of sale. (OKRs/Joystream%20OKRs/KR2%204%20Avg%20session%20number%20per%20user%20per%20month%20by%2030%25%2083e5b37bc6f24c5c8a6e72b58ceb4325.md), KR2.5: 30D retention rate increased by 30% (OKRs/Joystream%20OKRs/KR2%205%2030D%20retention%20rate%20increased%20by%2030%25%2067c93aadbbc145f994e5eec428b80840.md)"
KR2.1: Measure NPS and create roadmap targeting critical feedback items. (comment: I don't think NPS can be substantially increased over the course of 1.5 months),Content WG,,"June 20, 2024 10:39 AM",O2: Strive for product-market fit (OKRs/Joystream%20OKRs/O2%20Strive%20for%20product-market%20fit%20e11d276a3424466bb20f3542e3051eb6.md),◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,,,Completed ⭐️,
"KR2.2: MAU and DAU to increase by 30% not less than 30,000 quests.",Content WG,,"June 20, 2024 10:42 AM",O2: Strive for product-market fit (OKRs/Joystream%20OKRs/O2%20Strive%20for%20product-market%20fit%20e11d276a3424466bb20f3542e3051eb6.md),◽️◽️◽️◽️◽️◽️◽️◽️◽️◽️ 0%,,,At risk ⚠️,
KR2.3: Average session duration increase by 30%,Content WG,,"June 20, 2024 10:44 AM",O2: Strive for product-market fit (OKRs/Joystream%20OKRs/O2%20Strive%20for%20product-market%20fit%20e11d276a3424466bb20f3542e3051eb6.md),◽️◽️◽️◽️◽️◽️◽️◽️◽️◽️ 0%,,,At risk ⚠️,
KR2.4: Avg session number per user per month by 30% 4 weeks after start of sale.,Content WG,,"June 20, 2024 10:48 AM",O2: Strive for product-market fit (OKRs/Joystream%20OKRs/O2%20Strive%20for%20product-market%20fit%20e11d276a3424466bb20f3542e3051eb6.md),◽️◽️◽️◽️◽️◽️◽️◽️◽️◽️ 0%,,,At risk ⚠️,
KR2.5: 30D retention rate increased by 30%,Content WG,,"June 20, 2024 10:48 AM",O2: Strive for product-market fit (OKRs/Joystream%20OKRs/O2%20Strive%20for%20product-market%20fit%20e11d276a3424466bb20f3542e3051eb6.md),◽️◽️◽️◽️◽️◽️◽️◽️◽️◽️ 0%,,,At risk ⚠️,
O1: Keeping community informed and engaged,,,"June 18, 2024 6:45 PM",[2024 Q2] HR WG (OKRs/Joystream%20OKRs/%5B2024%20Q2%5D%20HR%20WG%2063ebaf11f9f647d0afcfeeaa9d63c6c7.md),,,,,"KR1.1: Draft a backlog of 5 high-quality ideas (and implement 2 of them) to enhance token holders' community engagement. (OKRs/Joystream%20OKRs/KR1%201%20Draft%20a%20backlog%20of%205%20high-quality%20ideas%20(and%20dadc2343fe934e63bb0153a2d8360982.md), KR1.2: Develop scripts for 2 videos on the JOY token purchase process. Oversee video creation and ensure 2 videos are completed within Q2. (OKRs/Joystream%20OKRs/KR1%202%20Develop%20scripts%20for%202%20videos%20on%20the%20JOY%20toke%20601c5fe7e5574acc9257a5a42270330f.md), KR1.3: Gain hands-on experience for community managers in minting, buying, and selling CRT, and testing all new creator token features. (OKRs/Joystream%20OKRs/KR1%203%20Gain%20hands-on%20experience%20for%20community%20manag%20df090e6956ed4f1ca91ff748e0f8345c.md), KR1.4: Co-facilitate 2 Creator roundtable events in collaboration with CWG, scheduled for 4 weeks after the start of the sale. (OKRs/Joystream%20OKRs/KR1%204%20Co-facilitate%202%20Creator%20roundtable%20events%20in%2076accba3edc44b9ebba85e419e757ca3.md), KR1.5: Review Discord onboarding and enhance the experience for token holders, prospective buyers, and creators. Draft a backlog of 5 high-quality ideas (and implement 2 of them). (OKRs/Joystream%20OKRs/KR1%205%20Review%20Discord%20onboarding%20and%20enhance%20the%20ex%2080cfb3e8ac6b45ed96315a759b65cdc8.md)"
KR1.1: Draft a backlog of 5 high-quality ideas (and implement 2 of them) to enhance token holders' community engagement.,HR WG,,"June 20, 2024 11:09 AM",O1: Keeping community informed and engaged (OKRs/Joystream%20OKRs/O1%20Keeping%20community%20informed%20and%20engaged%206f7b3924b22c440e9f530db7747355af.md),◾️◾️◾️◾️◾️◽️◽️◽️◽️◽️50%,,,At risk ⚠️,
KR1.2: Develop scripts for 2 videos on the JOY token purchase process. Oversee video creation and ensure 2 videos are completed within Q2.,HR WG,,"June 20, 2024 11:11 AM",O1: Keeping community informed and engaged (OKRs/Joystream%20OKRs/O1%20Keeping%20community%20informed%20and%20engaged%206f7b3924b22c440e9f530db7747355af.md),◾️◾️◾️◾️◾️◽️◽️◽️◽️◽️50%,,,At risk ⚠️,
"KR1.3: Gain hands-on experience for community managers in minting, buying, and selling CRT, and testing all new creator token features.",HR WG,,"June 20, 2024 11:11 AM",O1: Keeping community informed and engaged (OKRs/Joystream%20OKRs/O1%20Keeping%20community%20informed%20and%20engaged%206f7b3924b22c440e9f530db7747355af.md),◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,,,On track ✅,
"KR1.4: Co-facilitate 2 Creator roundtable events in collaboration with CWG, scheduled for 4 weeks after the start of the sale.",HR WG,,"June 24, 2024 6:25 AM",O1: Keeping community informed and engaged (OKRs/Joystream%20OKRs/O1%20Keeping%20community%20informed%20and%20engaged%206f7b3924b22c440e9f530db7747355af.md),◾️◾️◾️◾️◾️◽️◽️◽️◽️◽️50%,,,On track ✅,
"KR1.5: Review Discord onboarding and enhance the experience for token holders, prospective buyers, and creators. Draft a backlog of 5 high-quality ideas (and implement 2 of them).",HR WG,,"June 20, 2024 11:13 AM",O1: Keeping community informed and engaged (OKRs/Joystream%20OKRs/O1%20Keeping%20community%20informed%20and%20engaged%206f7b3924b22c440e9f530db7747355af.md),◾️◾️◾️◾️◾️◽️◽️◽️◽️◽️50%,,,At risk ⚠️,
O1: Grow market capitalisation,,,"June 18, 2024 6:47 PM",[2024 Q2] DAO (OKRs/Joystream%20OKRs/%5B2024%20Q2%5D%20DAO%20c728e00e54634f72a3c9aefcccf08005.md),,,,,KR1.1: MCAP vs Benchmark group grew by 50% by end of quarter (CMC) (OKRs/Joystream%20OKRs/KR1%201%20MCAP%20vs%20Benchmark%20group%20grew%20by%2050%25%20by%20end%20o%201d885f04554e49d4b8591249b48cd1a4.md)
KR1.1: MCAP vs Benchmark group grew by 50% by end of quarter (CMC),,,"June 18, 2024 6:49 PM",O1: Grow market capitalisation (OKRs/Joystream%20OKRs/O1%20Grow%20market%20capitalisation%203c0ea4ec0a004d9fba56e42e7bf01c2d.md),,,,,KR1.1.1: Get not less than 100 M JOY tx volume on all CRTs (OKRs/Joystream%20OKRs/KR1%201%201%20Get%20not%20less%20than%20100%20M%20JOY%20tx%20volume%20on%20a%20e3ce47a9dfb7499195320c3d213ef7f6.md)
O2: Strive for product-market fit,,,"June 18, 2024 6:49 PM",[2024 Q2] DAO (OKRs/Joystream%20OKRs/%5B2024%20Q2%5D%20DAO%20c728e00e54634f72a3c9aefcccf08005.md),,,,,"KR2.1: NPS ≥ 7 (OKRs/Joystream%20OKRs/KR2%201%20NPS%20%E2%89%A5%207%207fa059187dcd4978a7f273b4515ed0c8.md), KR2.2: MAU and DAU to increase by 30% (OKRs/Joystream%20OKRs/KR2%202%20MAU%20and%20DAU%20to%20increase%20by%2030%25%207117e0d6113d41398c1288e667919d49.md), KR2.3: Average session duration increase by 30% (OKRs/Joystream%20OKRs/KR2%203%20Average%20session%20duration%20increase%20by%2030%25%20827ae8d016c846dca4ff0098113876be.md), KR2.4: Avg session number per user per month by 30% (OKRs/Joystream%20OKRs/KR2%204%20Avg%20session%20number%20per%20user%20per%20month%20by%2030%25%2032217fad6c5448ceba28f407c10ba527.md), KR2.5: 30D retention rate increased by 30% (OKRs/Joystream%20OKRs/KR2%205%2030D%20retention%20rate%20increased%20by%2030%25%20ddb580c5dce44481b95c2aeb056497d5.md)"
KR1.1.1: Get not less than 100 M JOY tx volume on all CRTs,"Council, Marketing WG",,"June 20, 2024 10:23 AM",KR1.1: MCAP vs Benchmark group grew by 50% by end of quarter (CMC) (OKRs/Joystream%20OKRs/KR1%201%20MCAP%20vs%20Benchmark%20group%20grew%20by%2050%25%20by%20end%20o%201d885f04554e49d4b8591249b48cd1a4.md),◾️◽️◽️◽️◽️◽️◽️◽️◽️◽️10%,,,At risk ⚠️,
