Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
WG Opportunities,Builders,WORKER_OPPORTUNITIES_SCORE,0.333,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,"General WG Score, Grade, Spot Check, Subscore",Completed
WG Opportunities,Storage,WORKER_OPPORTUNITIES_SCORE,0.5,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,"General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20bd8fc0e6d40c4ad49bd055e5ccd08c52.md), General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%2066dd10fb9208439586139f01f462082d.md)","General WG Score, Grade, Spot Check, Subscore",Completed
WG Opportunities,Content,WORKER_OPPORTUNITIES_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20e6d810f18c2c443db74b2e4aa8afb281.md),"General WG Score, Grade, Spot Check, Subscore",Completed
WG Opportunities,Forum,WORKER_OPPORTUNITIES_SCORE,0.2,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,"General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20dff7837737a142b7ac485a34cfb3944d.md), General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20cf7fd270f2224d96a61ab6cb8eb7e159.md)","Document, Forum Post, General WG Score, Grade",Completed
WG Opportunities,Marketing,WORKER_OPPORTUNITIES_SCORE,0.5,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,"General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20dff7837737a142b7ac485a34cfb3944d.md), General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20cf7fd270f2224d96a61ab6cb8eb7e159.md)","Document, Forum Post, General WG Score, Grade",Completed
WG Opportunities,Distributors,WORKER_OPPORTUNITIES_SCORE,0.143,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%2028ddd6b219f3487e8a5f322cd0133089.md),"General WG Score, Grade, Spot Check, Subscore",Completed
Marketing Report,Marketing,REPORT_SCORE,,,,,"Document, Forum Post, Proposal, Report",Completed
Distributors Report,Distributors,REPORT_SCORE,0.514,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#report_score,,Distributor Score (Council%2011/Council%20Period%2011/Distributor%20Score%20668f361a5c0b4105889f5aabfed663b5.md),"Document, Forum Post, Grade, Group Specific Scores, Subscore",Completed
Builders Report,Builders,REPORT_SCORE,0.65,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score,,Builder Score (Council%2011/Council%20Period%2011/Builder%20Score%20b2c8d19ffdcb4766ba1ad5078ba66a9c.md),"Document, Forum Post, Grade, Group Specific Scores, Subscore",Completed
Content Report,Content,REPORT_SCORE,0.4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#report_score,,Content Score (Council%2011/Council%20Period%2011/Content%20Score%20004119f9e07b44c9a77b2e142972c598.md),"Forum Post, Group Specific Scores",Completed
Storage Report,Storage,REPORT_SCORE,0.868,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#report_score,,Storage Score (Council%2011/Council%20Period%2011/Storage%20Score%20afb78d52beb24d74965d2df84f748f5c.md),"Document, Forum Post, Grade, Group Specific Scores, Proposal, Report",Completed
Marketer Report,Marketing,REPORT_SCORE,0.2,,,,Group Specific Scores,Completed
HR Report,HR,REPORT_SCORE,0.95,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#report_score,,HR Score (Council%2011/Council%20Period%2011/HR%20Score%20f282b71f1e514de5be6809072e19e6c1.md),"Group Specific Scores, Subscore",Completed
Forum Report,Forum,REPORT_SCORE,0.8,,,Forum Score (Council%2011/Council%20Period%2011/Forum%20Score%2025e7daf61d4e41b4b2e3b7c80e1f24ad.md),"Document, Forum Post, Grade, Group Specific Scores, Subscore",Completed
Uploads,Storage,UPLOAD_SCORE,0.917,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#upload_score,,Storage Score (Council%2011/Council%20Period%2011/Storage%20Score%20afb78d52beb24d74965d2df84f748f5c.md),"Grade, Group Specific Scores, Subscore",Completed
Research Score,Storage,RESEARCH_SCORE,0.9,,,,"Group Specific Scores, Subscore",Completed
Research Score,Distributors,RESEARCH_SCORE,0,,,,"Group Specific Scores, Subscore",Completed
Testing,Builders,TESTING_SCORE,0.933,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#testing_score,,Builder Score (Council%2011/Council%20Period%2011/Builder%20Score%20b2c8d19ffdcb4766ba1ad5078ba66a9c.md),"Grade, Group Specific Scores, Spot Check, Subscore",Completed
Pioneer Development,Builders,PIONEER_DEVELOPMENT_SCORE,0.267,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#pioneer_development_score,,Builder Score (Council%2011/Council%20Period%2011/Builder%20Score%20b2c8d19ffdcb4766ba1ad5078ba66a9c.md),"Grade, Group Specific Scores, Spot Check, Subscore",Completed
General Development,Builders,GENERAL_DEVELOPMENT_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#general_development_score,,Builder Score (Council%2011/Council%20Period%2011/Builder%20Score%20b2c8d19ffdcb4766ba1ad5078ba66a9c.md),"Grade, Group Specific Scores, Spot Check, Subscore",Completed
