Name,Attributes,Forum Link,Forum Report Source,Grade Name,Group,Handbook Link,JSG Grading Status,Notion Link,Notion Source Link,Parent Score,Proposal Link,Score,Score Notes,Spot Check Completed,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores
Response Time,"Group Specific Scores, Subscore",,,RESPONSE_TIME_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#response_time_score,Completed,,,HR Score (Council%2011/Council%20Period%2011/HR%20Score%20f282b71f1e514de5be6809072e19e6c1.md),,1,,No,,,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,WORKER_OPPORTUNITIES_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Completed,,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20722835ea84824ffa8cee22c02e94a6a0.md),,0.5,,No,,,,
On chain Budget and Opening proposals without JOY equivalent,"Catastrophic Errors, Grade, Spot Check",,,,Council,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#on-chain-budget-and-opening-proposals-without-joy-equivalent,Completed,,,,,,,No,,,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,WORKER_OPPORTUNITIES_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Completed,,,,,0.333,,No,,,,
Research Score,"Group Specific Scores, Subscore",,,RESEARCH_SCORE,Distributors,,Completed,,,,,0,,No,,,,
Bounty Score,"General WG Score, Subscore",,,BOUNTY_SCORE,Distributors,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Completed,,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%2028ddd6b219f3487e8a5f322cd0133089.md),,0,,No,,,,
System,"Grade, Group Specific Scores, Spot Check, Subscore",,,SYSTEM_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#system_score,Completed,,,Distributor Score (Council%2011/Council%20Period%2011/Distributor%20Score%20668f361a5c0b4105889f5aabfed663b5.md),,0,,No,,,,
Bounty Management Score,"Group Specific Scores, Subscore",,,BOUNTY_MANAGEMENT_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#bounty_score,Completed,,,HR Score (Council%2011/Council%20Period%2011/HR%20Score%20f282b71f1e514de5be6809072e19e6c1.md),,1,,No,,,,
Testing,"Grade, Group Specific Scores, Spot Check, Subscore",,,TESTING_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#testing_score,Completed,,,Builder Score (Council%2011/Council%20Period%2011/Builder%20Score%20b2c8d19ffdcb4766ba1ad5078ba66a9c.md),,0.933,,No,,,,
Council Period Summary,"Document, Forum Post, Grade, Master Score, Proposal",https://dao.joystream.org/#/forum/thread/226?post=520,https://dao.joystream.org/#/forum/category/4,SUMMARY_SCORE,Council,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#council-period-summary,Completed,,,Network Performance Score (Council%2011/Council%20Period%2011/Network%20Performance%20Score%20db78fbeb45634d608012158a1465abbd.md),,0.9,Late submission,No,1171986,,,
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",https://dao.joystream.org/#/forum/thread/223,,PLAN_SCORE,Forum,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Completed,,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20dff7837737a142b7ac485a34cfb3944d.md),https://dao.joystream.org/#/proposals/preview/256,0.7,"On time, Proposal Approved",No,1088360,,,
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",https://dao.joystream.org/#/forum/thread/231,,PLAN_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Completed,,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20bd8fc0e6d40c4ad49bd055e5ccd08c52.md),https://dao.joystream.org/#/proposals/preview/256,0.7,"Late submission, Proposal Approved",No,1105615,,,
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,Completed,,,HR Score (Council%2011/Council%20Period%2011/HR%20Score%20f282b71f1e514de5be6809072e19e6c1.md),,0.607,,No,,,,"WG Period Plan (Council%2011/Council%20Period%2011/WG%20Period%20Plan%20820bcbef740840bc841567e1786c009f.md), WG Summary (Council%2011/Council%20Period%2011/WG%20Summary%20d9ef80543b4840fca2a44313218a48cb.md), WG Opportunities (Council%2011/Council%20Period%2011/WG%20Opportunities%201f9e6bda48b34994b57229e612b9c02c.md), Opening Score (Council%2011/Council%20Period%2011/Opening%20Score%20c867abf1de67481c855fbbb77892af27.md), Bounty Score (Council%2011/Council%20Period%2011/Bounty%20Score%20da853d46c77647aabab186d91416342a.md)"
Interaction Logging Score,"Group Specific Scores, Subscore",,,INTERACTION_LOGGING_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#interaction_logging_score,Completed,,,HR Score (Council%2011/Council%20Period%2011/HR%20Score%20f282b71f1e514de5be6809072e19e6c1.md),,0.556,,No,,,,
Bounty Score,"General WG Score, Subscore",,,BOUNTY_SCORE,Builders,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Completed,,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%2066dd10fb9208439586139f01f462082d.md),,0.3,,No,,,,
Uploads,"Grade, Group Specific Scores, Subscore",,,UPLOAD_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#upload_score,Completed,,,Storage Score (Council%2011/Council%20Period%2011/Storage%20Score%20afb78d52beb24d74965d2df84f748f5c.md),,0.917,,No,,,,
Content Score,"Composite Grade, Master Score",,,CONTENT_SCORE,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,Completed,,,Network Performance Score (Council%2011/Council%20Period%2011/Network%20Performance%20Score%20db78fbeb45634d608012158a1465abbd.md),,0.358,,No,,,,"General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20e6d810f18c2c443db74b2e4aa8afb281.md), Content Report (Council%2011/Council%20Period%2011/Content%20Report%20248f09c81607432992eff6f949d93ef9.md), Featuring Score (Council%2011/Council%20Period%2011/Featuring%20Score%20d649cc184bcb4106b79bc578a6b586ba.md), Moderation Score (Council%2011/Council%20Period%2011/Moderation%20Score%2036924e7f43724a928e709ce8164fa690.md), Logging does not occur (Council%2011/Council%20Period%2011/Logging%20does%20not%20occur%2064e8494eb0224f9ab79791821928733f.md), Featured Content Unplayable (Council%2011/Council%20Period%2011/Featured%20Content%20Unplayable%203ce0222d997a463aae5df254b8e5ff86.md), Failure to apply moderation rules (Council%2011/Council%20Period%2011/Failure%20to%20apply%20moderation%20rules%201ca29bfbd4754558b21a899e72575967.md)"
Storage Score,"Composite Grade, Master Score",,,STORAGE_SCORE,Storage,,Completed,,,Network Performance Score (Council%2011/Council%20Period%2011/Network%20Performance%20Score%20db78fbeb45634d608012158a1465abbd.md),,0.772,,No,,,,"Uploads (Council%2011/Council%20Period%2011/Uploads%20cf239054f51842379ae79a83e42b4ffa.md), General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20bd8fc0e6d40c4ad49bd055e5ccd08c52.md), System (Council%2011/Council%20Period%2011/System%20c29e2b7350484ab4b8b14a512ae375be.md), Storage Report (Council%2011/Council%20Period%2011/Storage%20Report%20d40e7884b6af489e895150a46d8bd8ff.md)"
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,Forum,,Completed,,,Forum Score (Council%2011/Council%20Period%2011/Forum%20Score%2025e7daf61d4e41b4b2e3b7c80e1f24ad.md),,0.33,,No,,,,"WG Period Plan (Council%2011/Council%20Period%2011/WG%20Period%20Plan%20a17b8ce7d8554abe9f03131bc316aa14.md), WG Summary (Council%2011/Council%20Period%2011/WG%20Summary%20072c2397ef4948af8343f45e70e304dd.md), WG Opportunities (Council%2011/Council%20Period%2011/WG%20Opportunities%203d08524bf079446c899e325a0602f94d.md), Opening Score (Council%2011/Council%20Period%2011/Opening%20Score%2028bcca9cc99f4441b7591d9b1649d17d.md), Bounty Score (Council%2011/Council%20Period%2011/Bounty%20Score%202e6f4482b90a4a6fa68ca998ac78ad0c.md), WG Opportunities (Council%2011/Council%20Period%2011/WG%20Opportunities%202e00d77a26c74d0c83e872e455823ddb.md), Bounty Score (Council%2011/Council%20Period%2011/Bounty%20Score%203f47209fe49a4d92a8e6da137d890a15.md), Opening Score (Council%2011/Council%20Period%2011/Opening%20Score%201c50777e865b46f9bedcd5d0c669cd0f.md)"
Total Breaches of Policy,"Catastrophic Errors, Grade, Spot Check",,,TOTAL_BREACHES_OF_POLICY,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,Completed,,,Moderation Score (Council%2011/Council%20Period%2011/Moderation%20Score%2036924e7f43724a928e709ce8164fa690.md),,,,No,,,,
General Development,"Grade, Group Specific Scores, Spot Check, Subscore",,,GENERAL_DEVELOPMENT_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#general_development_score,Completed,,,Builder Score (Council%2011/Council%20Period%2011/Builder%20Score%20b2c8d19ffdcb4766ba1ad5078ba66a9c.md),,1,,No,,,,
HR Score,"Composite Grade, Master Score",,,HR_SCORE,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,Completed,,,Network Performance Score (Council%2011/Council%20Period%2011/Network%20Performance%20Score%20db78fbeb45634d608012158a1465abbd.md),,0.79,,No,,,,"General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20722835ea84824ffa8cee22c02e94a6a0.md), HR Report (Council%2011/Council%20Period%2011/HR%20Report%20517eb9c670c14c57a796d2b34dc59225.md), Response Time (Council%2011/Council%20Period%2011/Response%20Time%20130795b6164042539004d7469d19b2cf.md), Person Logging Score (Council%2011/Council%20Period%2011/Person%20Logging%20Score%20569ad6e088c2498cbaa9cab1e673a046.md), Interaction Logging Score (Council%2011/Council%20Period%2011/Interaction%20Logging%20Score%20838c086fc77f42988bd078a538d93cee.md), Bounty Management Score (Council%2011/Council%20Period%2011/Bounty%20Management%20Score%201ac3d898279241e4ba39e8641a0ea202.md)"
Council Period Plan,"Document, Forum Post, Grade, Master Score, Proposal",https://dao.joystream.org/#/forum/thread/226,https://dao.joystream.org/#/forum/category/4,PLAN_SCORE,Council,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,Completed,,,Network Performance Score (Council%2011/Council%20Period%2011/Network%20Performance%20Score%20db78fbeb45634d608012158a1465abbd.md),https://dao.joystream.org/#/proposals/preview/256,0.8,"Late submission, Proposal Approved",No,1094308,,,
Moderation Score,"Grade, Group Specific Scores, Spot Check",,,MODERATION_SCORE,Forum,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#moderation_score,Completed,,,Forum Score (Council%2011/Council%20Period%2011/Forum%20Score%2025e7daf61d4e41b4b2e3b7c80e1f24ad.md),,1,,No,,,,
Workflow Violation,Catastrophic Errors,,,,Marketing,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/marketers-score#inadequate-report-1,Completed,,,,,,,No,,,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Summary",https://dao.joystream.org/#/forum/thread/251?post=503,,SUMMARY_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Completed,,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20722835ea84824ffa8cee22c02e94a6a0.md),,1,"Basically Perfect, On time",No,1159887,,,
Permanent Data Object Loss,"Catastrophic Errors, Grade, Spot Check",,,,Storage,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#permanent-data-object-loss,Completed,,,,,,,No,,,,
Marketing Report,"Document, Forum Post, Proposal, Report",,,REPORT_SCORE,Marketing,,Completed,,,,,,,No,,,,
Research Score,"Group Specific Scores, Subscore",,,RESEARCH_SCORE,Storage,,Completed,,,,,0.9,,No,,,,
Missing Judgement,"Catastrophic Errors, Grade, Spot Check",,,,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#catastrophic-errors,Completed,,,,,,,No,,,,
Member Faucet Empty,"Catastrophic Errors, Grade, Spot Check",,,,Council,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#member-faucet-empty,Completed,,,,,,,No,,,,
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,Completed,,,Content Score (Council%2011/Council%20Period%2011/Content%20Score%20004119f9e07b44c9a77b2e142972c598.md),,0.474,,No,,,,"WG Opportunities (Council%2011/Council%20Period%2011/WG%20Opportunities%20a1ba75a582334b61a03e2dd417edac52.md), WG Summary (Council%2011/Council%20Period%2011/WG%20Summary%20f35e9fac8aba4fcb81e1efbfd3c28ea2.md), WG Period Plan (Council%2011/Council%20Period%2011/WG%20Period%20Plan%204f3607903f2c47479b42e45a66abc146.md), Opening Score (Council%2011/Council%20Period%2011/Opening%20Score%202f24b5b66d144dbca0e4e8e1dfba3b82.md), Bounty Score (Council%2011/Council%20Period%2011/Bounty%20Score%20124ca32fa2ec4c1398071ec7e847be94.md)"
