Name,Attributes,Builder Weight,Content Weight,Deadline (Local Time),Deadline [block],Deadline timestamp,Distributor Weight,Effective Deadline,Forum Link,Forum Post Required?,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Proposal Link,Proposal Required?,Reports Gathered,Score,Score Notes,Score Status,Score Type,Scoring Weights,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores,Summary Weight,Summary Weight link
WG Period Plan,"Document, Forum Post, Grade, Subscore",4,2,"May 9, 2022 8:33 PM",675000,1652124834000,3,"May 9, 2022 8:33 PM (GMT+1)",,Yes,,1,PLAN_SCORE,Storage,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,1,1,0,0,,,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%201f4037cc3e69488cb9663a1e0036dcda.md),1,,2,4,,No,Yes,0,No Submission found (at all),Ready for review,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,"May 15, 2022",,,1
Total Breaches of Policy,"Catastrophic Errors, Grade, Spot Check",4,2,,,,3,,,,,1,TOTAL_BREACHES_OF_POLICY,Content,4,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,1,1,0,0,,,,Moderation Score (Council%207/Council%20Period%207/Moderation%20Score%20d55db66c8293410ba0c831d487794e93.md),1,,2,4,,,No,,,Not Completed,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
WG Period Plan,Forum Post,4,2,"May 9, 2022 8:33 PM",675000,1652124834000,3,"May 9, 2022 8:33 AM (GMT+1)",,,,1,PLAN_SCORE,Content,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,1,1,0,0,"WORKING GROUP PLAN (https://www.notion.so/WORKING-GROUP-PLAN-77b39d6fa59b415ab1632b1ef1f57fad?pvs=21) ",,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%20d822d7ac5c04432686f5870800f8f116.md),1,,2,4,,,No,0.5,"Forum post did not include markdown, Late submission",Ready for review,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,"May 16, 2022 7:53 PM (GMT+1)",,,1
Uploads,Grade,4,2,,,,3,,,,,1,UPLOAD_SCORE,Storage,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#upload_score,1,1,0,0,,,,Storage Score (Council%207/Council%20Period%207/Storage%20Score%20bdef29f3ae2143378688c425c8a12f94.md),1,,2,4,,,No,0.912,,Calculation,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
Council Handover/Minutes,"Forum Post, Subscore",4,2,,,,3,,,Yes,,1,HANDOVER_SCORE,Council,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-handover-meeting,1,1,0,0,"Council #7 Handover (https://www.notion.so/Council-7-Handover-cb432662e45143c881263f8b518c6aec?pvs=21) ",,,,1,,2,4,,,No,0.9,No Forum Post found,Data input - grading req,Main Score,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,"May 9, 2022 11:56 AM (GMT+1)",,,1
WG Opportunities,"Document, Forum Post, Grade",4,2,,,,3,,,,,1,WORKER_OPPORTUNITIES_SCORE,Forum,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,1,1,0,0,,,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%209110e709cb3e4e2893cb4704c40481f6.md),1,,2,4,,,No,1,,Calculation,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
WG Opportunities,"Grade, Spot Check, Subscore",4,2,,,,3,,,,,1,WORKER_OPPORTUNITIES_SCORE,Storage,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,1,1,0,0,,,20%,"General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%201f4037cc3e69488cb9663a1e0036dcda.md), General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%20a0b5b885479b42d6aff4584a8d840789.md)",1,,2,4,,,No,0.25,,Calculation,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
WG Period Plan,Forum Post,4,2,"May 9, 2022 8:33 PM",675000,1652124834000,3,"May 9, 2022 8:33 PM (GMT+1)",,Yes,,1,PLAN_SCORE,HR,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,1,1,0,0,"Working Group Period Plan (https://www.notion.so/Working-Group-Period-Plan-42cc2cb16d3a45adb0c9bb13ab0678ba?pvs=21) ",,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%204cc96e8d350741f3ba90d47b7fe40188.md),1,,2,4,,,No,0.5,"Forum post did not include markdown, Late submission",Ready for review,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,"May 14, 2022 10:12 PM (GMT+1)",,,1
Categories Score,,4,2,,,,3,,,,,1,CATEGORIES_SCORE,Content,4,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,1,1,0,0,,,,Featuring Score (Council%207/Council%20Period%207/Featuring%20Score%20e4d7bba642a840cda15d21c3b9624108.md),1,,2,4,,,No,,,Not Completed,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
WG Opportunities,"Grade, Spot Check, Subscore",4,2,,,,3,,,,,1,WORKER_OPPORTUNITIES_SCORE,HR,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,1,1,0,0,,,20%,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%204cc96e8d350741f3ba90d47b7fe40188.md),1,,2,4,,,No,1,,Calculation,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
WG Summary,"Document, Forum Post, Grade, Subscore",4,2,,752400,,3,,https://dao.joystream.org/#/forum/thread/109,,,1,SUMMARY_SCORE,Distributors,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,1,1,0,0,,,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%203a5e8ade60d846f48c9f99feaed17f56.md),1,,2,4,,,Yes,0,"Forum post did not include markdown, No Submission found (at all)",Ready for review,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,753832,,,,,1
