Property,average_size bytes,id,objects_num,total_size bytes
,2050036,2386,4,8200146
,1710714,2376,4,6842856
,54306489,2081,41,2226566085
,42908335,2655,6,257450010
,839869,2362,4,3359477
,468636,2032,4,1874544
,1427565,2391,4,5710260
,80073679,2072,304,24342398570
,16191,2284,2,32382
,3356558,2527,6,20139350
,56899940,2263,20,1137998812
,46346269,2045,933,43241069533
,3698086,2396,4,14792347
,3851195,2451,4,15404780
,55390554,2101,170,9416394323
,539559,2523,6,3237356
,184519958,2116,9,1660679622
,5508055,2582,4,22032223
,17756,2293,2,35512
,24077486,2056,14,337084815
,25992,2444,2,51984
,6531536,2280,2,13063072
,18982985,2169,7,132880897
,246370,2364,4,985482
,14540,2601,2,29080
,214677,2594,4,858708
,122820236,2001,146,17931754547
,29816384,2654,2,59632769
,38413082,2038,6,230478492
,2180480,2560,4,8721921
,69732289,2058,36,2510362425
,223071,2292,3,669213
,6613119,2333,40,264524788
,292977116,2035,30,8789313506
,4985473,2251,2,9970946
,11138281,2212,6,66829686
,30404975,2267,2,60809951
,1677413,2591,4,6709655
,854282,2642,6,5125692
,19522261,2170,7,136655832
,45676886,2095,84,3836858496
,2986828,2465,4,11947313
,6613101,2337,6,39678606
,28890610,2274,42,1213405645
,40067,2007,2,80134
,58931870,2189,80,4714549623
,485563106,2094,44,21364776673
,41735707,2408,28,1168599817
,424893584,2289,36,15296169057
,6613101,2339,6,39678606
,658214,2429,4,2632857
,2663166,2407,4,10652666
,2524291,2428,4,10097166
,83204346,2037,40,3328173852
,757428,2381,4,3029712
,308130666,2194,11,3389437329
,65934736,2121,15,989021053
,18831,2566,2,37662
,54046016,2316,3,162138050
,6613118,2265,12,79357416
,12186115,2630,4,48744462
,10492002,2105,10,104920020
,506494936,2071,17,8610413913
,7008955,2209,4,28035823
,1342833,2518,6,8056998
,59522401,2176,38,2261851260
,34546282,2120,6,207277696
,1061046,2063,4,4244185
,9523670,2599,4,38094682
,7227223,2416,4,28908892
,6613135,2230,44,290977940
,91295362,2023,8,730362900
